From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
AGO2	Q9UKV8	reviewed	AGO2_HUMAN	Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)	AGO2 EIF2C2	Homo sapiens (Human)	859
AGO2	E5RGG9	unreviewed	E5RGG9_HUMAN	Argonaute RISC catalytic component 2	AGO2	Homo sapiens (Human)	73
AGO2	E5RJY2	unreviewed	E5RJY2_HUMAN	Argonaute RISC catalytic component 2	AGO2	Homo sapiens (Human)	36
AKT1	P31749	reviewed	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	480
AKT1	A0A087WY56	unreviewed	A0A087WY56_HUMAN	AKT serine/threonine kinase 1	AKT1	Homo sapiens (Human)	422
AKT1	A0A0S2Z3D6	unreviewed	A0A0S2Z3D6_HUMAN	V-akt murine thymoma viral oncogene-like protein 1 isoform 2	AKT1	Homo sapiens (Human)	181
AKT1	A0A142IKA9	unreviewed	A0A142IKA9_HUMAN	Serine-threonine protein kinase	AKT1	Homo sapiens (Human)	41
AKT1	A0A804HJM6	unreviewed	A0A804HJM6_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT1	Homo sapiens (Human)	505
AKT1	A0AAQ5BHJ3	unreviewed	A0AAQ5BHJ3_HUMAN	AKT serine/threonine kinase 1	AKT1	Homo sapiens (Human)	529
AKT1	A0AAQ5BHK3	unreviewed	A0AAQ5BHK3_HUMAN	AKT serine/threonine kinase 1	AKT1	Homo sapiens (Human)	438
AKT1	B0LPE5	unreviewed	B0LPE5_HUMAN	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (RAC-PK-alpha)	AKT1 hCG_96740	Homo sapiens (Human)	480
AKT1	G3V2I6	unreviewed	G3V2I6_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT1	Homo sapiens (Human)	447
AKT1	G3V3X1	unreviewed	G3V3X1_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT1	Homo sapiens (Human)	467
AKT1	X2CV47	unreviewed	X2CV47_HUMAN	AKT1m transcript variant 3	AKT1	Homo sapiens (Human)	38
AKT1	X2CVF3	unreviewed	X2CVF3_HUMAN	AKT1m transcript variant 1 (AKT1m transcript variant 2) (AKT1m transcript variant 4)	AKT1	Homo sapiens (Human)	38
AKT2	P31751	reviewed	AKT2_HUMAN	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC protein kinase beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481
AKT2	A0A0A0MRF1	unreviewed	A0A0A0MRF1_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	125
AKT2	A0A0U4CQG9	unreviewed	A0A0U4CQG9_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT2	Homo sapiens (Human)	481
AKT2	A0A1B0GXA2	unreviewed	A0A1B0GXA2_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	132
AKT2	A0A5F9ZHJ8	unreviewed	A0A5F9ZHJ8_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	128
AKT2	A8MX96	unreviewed	A8MX96_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	133
AKT2	C9J258	unreviewed	C9J258_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	95
AKT2	C9JC83	unreviewed	C9JC83_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	107
AKT2	C9JHS6	unreviewed	C9JHS6_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	184
AKT2	C9JIF6	unreviewed	C9JIF6_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	67
AKT2	C9JIJ1	unreviewed	C9JIJ1_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	119
AKT2	E7EVP8	unreviewed	E7EVP8_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	134
AKT2	J3KRI8	unreviewed	J3KRI8_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	130
AKT2	J3KSY8	unreviewed	J3KSY8_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	99
AKT2	J3KT31	unreviewed	J3KT31_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	69
AKT2	J3KTC6	unreviewed	J3KTC6_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	53
AKT2	J3KTP4	unreviewed	J3KTP4_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	51
AKT2	J3QKW1	unreviewed	J3QKW1_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	396
AKT2	J3QL45	unreviewed	J3QL45_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	106
AKT2	J3QLS6	unreviewed	J3QLS6_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	157
AKT2	M0QZK3	unreviewed	M0QZK3_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	151
AKT2	M0QZW8	unreviewed	M0QZW8_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	56
AKT2	M0R0P9	unreviewed	M0R0P9_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT2	Homo sapiens (Human)	450
AKT2	M0R275	unreviewed	M0R275_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	129
AKT2	M0R283	unreviewed	M0R283_HUMAN	AKT serine/threonine kinase 2	AKT2	Homo sapiens (Human)	117
AKT2	Q6P4H3	unreviewed	Q6P4H3_HUMAN	AKT2 protein	AKT2	Homo sapiens (Human)	147
AKT3	Q9Y243	reviewed	AKT3_HUMAN	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	Homo sapiens (Human)	479
AKT3	A0A5F9ZGY0	unreviewed	A0A5F9ZGY0_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT3	Homo sapiens (Human)	398
AKT3	A0A5F9ZGZ4	unreviewed	A0A5F9ZGZ4_HUMAN	AKT serine/threonine kinase 3	AKT3	Homo sapiens (Human)	71
AKT3	A0A5F9ZHA9	unreviewed	A0A5F9ZHA9_HUMAN	AKT serine/threonine kinase 3	AKT3	Homo sapiens (Human)	94
AKT3	A0A5F9ZHU3	unreviewed	A0A5F9ZHU3_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT3	Homo sapiens (Human)	418
AKT3	A0A5K1VW74	unreviewed	A0A5K1VW74_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT3	Homo sapiens (Human)	456
AKT3	A0A7P0T872	unreviewed	A0A7P0T872_HUMAN	AKT serine/threonine kinase 3	AKT3	Homo sapiens (Human)	66
AKT3	A0A7P0T8T9	unreviewed	A0A7P0T8T9_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT3	Homo sapiens (Human)	437
AKT3	A0A7P0TB29	unreviewed	A0A7P0TB29_HUMAN	AKT serine/threonine kinase 3	AKT3	Homo sapiens (Human)	100
AKT3	A0A7P0TB32	unreviewed	A0A7P0TB32_HUMAN	AKT serine/threonine kinase 3	AKT3	Homo sapiens (Human)	295
AKT3	A0A7P0TBJ6	unreviewed	A0A7P0TBJ6_HUMAN	AKT serine/threonine kinase 3	AKT3	Homo sapiens (Human)	247
AKT3	F8VS91	unreviewed	F8VS91_HUMAN	AKT serine/threonine kinase 3	AKT3	Homo sapiens (Human)	139
AKT3	Q56A86	unreviewed	Q56A86_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT3	Homo sapiens (Human)	466
ALB	P02768	reviewed	ALBU_HUMAN	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)	609
ALB	Q8TES7	reviewed	FBF1_HUMAN	Fas-binding factor 1 (FBF-1) (Protein albatross)	FBF1 ALB KIAA1863	Homo sapiens (Human)	1133
ALB	A0A0C4DGB6	unreviewed	A0A0C4DGB6_HUMAN	Albumin	ALB	Homo sapiens (Human)	604
ALB	B7WNR0	unreviewed	B7WNR0_HUMAN	Albumin	ALB	Homo sapiens (Human)	494
ALB	C9JKR2	unreviewed	C9JKR2_HUMAN	Albumin	ALB hCG_14967	Homo sapiens (Human)	417
ALB	D6RCE7	unreviewed	D6RCE7_HUMAN	Albumin	ALB	Homo sapiens (Human)	105
ALB	D6RHD5	unreviewed	D6RHD5_HUMAN	Albumin	ALB	Homo sapiens (Human)	459
ALB	H0YA55	unreviewed	H0YA55_HUMAN	Albumin	ALB	Homo sapiens (Human)	454
ALB	H7C013	unreviewed	H7C013_HUMAN	Albumin	ALB	Homo sapiens (Human)	197
ALB	Q6LEH2	unreviewed	Q6LEH2_HUMAN	Serum albumin	ALB	Homo sapiens (Human)	9
ALK	Q9UM73	reviewed	ALK_HUMAN	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	ALK	Homo sapiens (Human)	1620
ALK	A0A087WZL3	unreviewed	A0A087WZL3_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1243
ALK	A0A0K2YUJ3	unreviewed	A0A0K2YUJ3_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	552
ALK	B2MXD7	unreviewed	B2MXD7_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	20
ALK	B2MXD8	unreviewed	B2MXD8_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	17
ALK	B2MXD9	unreviewed	B2MXD9_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	15
ALK	B2MXE0	unreviewed	B2MXE0_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	10
ALK	B2MXE1	unreviewed	B2MXE1_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	11
ALK	B2MXE2	unreviewed	B2MXE2_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	12
ALK	B2MXE3	unreviewed	B2MXE3_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	20
ALK	B2MXE4	unreviewed	B2MXE4_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	14
ALK	B2MXE5	unreviewed	B2MXE5_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	13
ALK	B2MXE6	unreviewed	B2MXE6_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	12
ALK	B2MXE7	unreviewed	B2MXE7_HUMAN	Anaplastic lymphoma kinase	ALK	Homo sapiens (Human)	13
ALK	B6D4Y1	unreviewed	B6D4Y1_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	B6D4Y2	unreviewed	B6D4Y2_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	B6D4Y3	unreviewed	B6D4Y3_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	B6D4Y5	unreviewed	B6D4Y5_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	B6D4Y6	unreviewed	B6D4Y6_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	B6D4Y7	unreviewed	B6D4Y7_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	B6D4Y8	unreviewed	B6D4Y8_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	D1MAM0	unreviewed	D1MAM0_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	D1MAM1	unreviewed	D1MAM1_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	D1MAM2	unreviewed	D1MAM2_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	D1MAM3	unreviewed	D1MAM3_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	D1MAM4	unreviewed	D1MAM4_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	D1MAM5	unreviewed	D1MAM5_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	E7EPW7	unreviewed	E7EPW7_HUMAN	ALK receptor tyrosine kinase	ALK	Homo sapiens (Human)	129
ALK	F0UY65	unreviewed	F0UY65_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	F0UY66	unreviewed	F0UY66_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	ALK	Homo sapiens (Human)	1620
ALK	H7BZ33	unreviewed	H7BZ33_HUMAN	ALK receptor tyrosine kinase	ALK	Homo sapiens (Human)	152
ALK	Q580I3	unreviewed	Q580I3_HUMAN	Uncharacterized protein ALK	ALK	Homo sapiens (Human)	67
ALOX12B	O75342	reviewed	LX12B_HUMAN	Arachidonate 12-lipoxygenase, 12R-type (12R-LOX) (12R-lipoxygenase) (EC 1.13.11.-) (Epidermis-type lipoxygenase 12)	ALOX12B	Homo sapiens (Human)	701
ALOX12B	A0A3B3IRK2	unreviewed	A0A3B3IRK2_HUMAN	Arachidonate 12-lipoxygenase, 12R type	ALOX12B	Homo sapiens (Human)	389
AMER1	Q5JTC6	reviewed	AMER1_HUMAN	APC membrane recruitment protein 1 (Amer1) (Protein FAM123B) (Wilms tumor gene on the X chromosome protein)	AMER1 FAM123B WTX	Homo sapiens (Human)	1135
ANKRD11	Q6UB99	reviewed	ANR11_HUMAN	Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1)	ANKRD11 ANCO1	Homo sapiens (Human)	2663
ANKRD11	A0A0K2FGM8	unreviewed	A0A0K2FGM8_HUMAN	Truncated ankyrin repeat domain 11 aberrant transcript 1	ANKRD11	Homo sapiens (Human)	300
ANKRD11	A0A0K2FGV1	unreviewed	A0A0K2FGV1_HUMAN	Truncated ankyrin repeat domain 11 aberrant transcript 2	ANKRD11	Homo sapiens (Human)	299
ANKRD11	A0A2R8Y438	unreviewed	A0A2R8Y438_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	944
ANKRD11	A0A2R8Y4T9	unreviewed	A0A2R8Y4T9_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	98
ANKRD11	A0A2R8Y5V1	unreviewed	A0A2R8Y5V1_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	162
ANKRD11	A0A2R8Y728	unreviewed	A0A2R8Y728_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	62
ANKRD11	A0A2R8Y7Z1	unreviewed	A0A2R8Y7Z1_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	88
ANKRD11	A0A2R8YE03	unreviewed	A0A2R8YE03_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	267
ANKRD11	A0A2R8YE94	unreviewed	A0A2R8YE94_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	32
ANKRD11	A0A2R8YEI0	unreviewed	A0A2R8YEI0_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	272
ANKRD11	A0A345W8A6	unreviewed	A0A345W8A6_HUMAN	Truncated ankyrin repeat domain 11	ANKRD11	Homo sapiens (Human)	96
ANKRD11	H0Y2U4	unreviewed	H0Y2U4_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	97
ANKRD11	H0Y3E3	unreviewed	H0Y3E3_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	35
ANKRD11	H3BNU4	unreviewed	H3BNU4_HUMAN	Ankyrin repeat domain containing 11	ANKRD11	Homo sapiens (Human)	124
ANKRD11	L0R6C4	unreviewed	L0R6C4_HUMAN	Alternative protein ANKRD11	ANKRD11	Homo sapiens (Human)	232
ANKRD11	Q6PEL2	unreviewed	Q6PEL2_HUMAN	ANKRD11 protein	ANKRD11	Homo sapiens (Human)	454
ANKRD11	Q8IVY9	unreviewed	Q8IVY9_HUMAN	ANKRD11 protein	ANKRD11	Homo sapiens (Human)	334
ANKRD11	X5D778	unreviewed	X5D778_HUMAN	Ankyrin repeat domain 11 isoform A (Ankyrin repeat domain containing 11)	ANKRD11	Homo sapiens (Human)	421
APC	P25054	reviewed	APC_HUMAN	Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	APC DP2.5	Homo sapiens (Human)	2843
APC	A0A087WYF3	unreviewed	A0A087WYF3_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	58
APC	A0A087X2F3	unreviewed	A0A087X2F3_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	488
APC	A0A1Y6IM53	unreviewed	A0A1Y6IM53_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	10
APC	A0A1Y6IM71	unreviewed	A0A1Y6IM71_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	103
APC	A0A1Y6IM94	unreviewed	A0A1Y6IM94_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	311
APC	A0A1Y6IM95	unreviewed	A0A1Y6IM95_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	311
APC	A0A1Y6IPP8	unreviewed	A0A1Y6IPP8_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	103
APC	A0A1Y6IQI2	unreviewed	A0A1Y6IQI2_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	103
APC	A0A1Y6IQK5	unreviewed	A0A1Y6IQK5_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	311
APC	A0A1Y6IRU6	unreviewed	A0A1Y6IRU6_HUMAN	Adenomatous Polyposis Coli	APC	Homo sapiens (Human)	311
APC	A0A224ANK2	unreviewed	A0A224ANK2_HUMAN	Adenomatous polyposis coli protein isoform b	APC	Homo sapiens (Human)	2843
APC	A0A224AV41	unreviewed	A0A224AV41_HUMAN	Adenomatous polyposis coli protein isoform t (HCG2031476, isoform CRA_d)	APC hCG_2031476	Homo sapiens (Human)	2853
APC	A0A2Q2SV78	unreviewed	A0A2Q2SV78_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	1135
APC	A0A386AVV0	unreviewed	A0A386AVV0_HUMAN	WNT signaling pathway regulator	APC	Homo sapiens (Human)	45
APC	A0AAQ5BGI9	unreviewed	A0AAQ5BGI9_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	198
APC	A0AAQ5BGJ9	unreviewed	A0AAQ5BGJ9_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	2737
APC	A0AAQ5BGK6	unreviewed	A0AAQ5BGK6_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	94
APC	A0AAQ5BGM3	unreviewed	A0AAQ5BGM3_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	600
APC	A1YIQ7	unreviewed	A1YIQ7_HUMAN	Adenomatous polyposis coli	APC	Homo sapiens (Human)	100
APC	A1YIX6	unreviewed	A1YIX6_HUMAN	Truncated adenomatous polyposis coli	APC	Homo sapiens (Human)	10
APC	A1YR11	unreviewed	A1YR11_HUMAN	Adenomatosis polyposis coli	APC	Homo sapiens (Human)	99
APC	A5HB94	unreviewed	A5HB94_HUMAN	Adenomatosis polyposis coli	APC	Homo sapiens (Human)	100
APC	A5HB95	unreviewed	A5HB95_HUMAN	Adenomatosis polyposis coli	APC	Homo sapiens (Human)	100
APC	A5HB96	unreviewed	A5HB96_HUMAN	Adenomatosis polyposis coli	APC	Homo sapiens (Human)	99
APC	A5HB97	unreviewed	A5HB97_HUMAN	Adenomatosis polyposis coli	APC	Homo sapiens (Human)	99
APC	A5JUM6	unreviewed	A5JUM6_HUMAN	Truncated adenomatosis polyposis coli tumor suppressor	APC	Homo sapiens (Human)	56
APC	A5JUM7	unreviewed	A5JUM7_HUMAN	Truncated adenomatosis polyposis coli tumor suppressor	APC	Homo sapiens (Human)	79
APC	A5JUM8	unreviewed	A5JUM8_HUMAN	Adenomatosis polyposis coli tumor suppressor	APC	Homo sapiens (Human)	99
APC	A5JUM9	unreviewed	A5JUM9_HUMAN	Truncated adenomatosis polyposis coli tumor suppressor	APC	Homo sapiens (Human)	98
APC	D6RFL6	unreviewed	D6RFL6_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	118
APC	E7EMH9	unreviewed	E7EMH9_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	287
APC	E9PFT7	unreviewed	E9PFT7_HUMAN	APC regulator of WNT signaling pathway	APC	Homo sapiens (Human)	1304
APC	Q16097	unreviewed	Q16097_HUMAN	APC protein	APC	Homo sapiens (Human)	38
APC	Q16098	unreviewed	Q16098_HUMAN	APC protein	APC	Homo sapiens (Human)	39
APC	Q5EBR8	unreviewed	Q5EBR8_HUMAN	Adenomatous polyposis coli protein	APC	Homo sapiens (Human)	18
APC	Q5EBR9	unreviewed	Q5EBR9_HUMAN	Adenomatous polyposis coli protein	APC	Homo sapiens (Human)	17
