sgrna	gene	S1	S2	S3_5	B1	B2	B3	B4	B5	M1	M2	M3_5	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3
gRNA_299	Apc	698.0	300.0	298.0	269.0	122.0	382.0	403.0	134.0	19.0	125.0	167.0	90.0	34.0	6.0	4.0	374.0	109.0	2.0	141.0	70.0
gRNA_300	Apc	175.0	678.0	258.0	93.0	55.0	269.0	5.0	115.0	15.0	1583.0	220.0	31.0	90.0	7.0	1.0	32.0	6.0	3.0	2.0	84.0
gRNA_497	Araf	83.0	9.0	108.0	136.0	18.0	4.0	16.0	252.0	25.0	61.0	0.0	43.0	55.0	5.0	1.0	58.0	19.0	0.0	5.0	8.0
gRNA_498	Araf	4081.0	3780.0	2574.0	4199.0	656.0	1730.0	166.0	1971.0	255.0	137.0	46.0	308.0	215.0	34.0	5.0	1546.0	805.0	27.0	959.0	467.0
gRNA_528	Arid1a	3058.0	2661.0	2525.0	1143.0	1313.0	1406.0	4121.0	130.0	325.0	374.0	2591.0	209.0	381.0	44.0	9.0	1810.0	1103.0	36.0	1173.0	742.0
gRNA_594	Arid1a	1027.0	1559.0	620.0	84.0	652.0	137.0	9510.0	198.0	22.0	82.0	2.0	52.0	63.0	6.0	2.0	332.0	153.0	10.0	210.0	144.0
gRNA_671	Arid1a	696.0	317.0	323.0	1669.0	94.0	620.0	1691.0	390.0	57.0	5.0	1.0	99.0	250.0	20.0	2.0	418.0	82.0	10.0	71.0	80.0
gRNA_736	Arid1b	765.0	1496.0	1459.0	160.0	292.0	354.0	389.0	425.0	48.0	57.0	0.0	283.0	244.0	32.0	0.0	443.0	214.0	4.0	190.0	144.0
gRNA_740	Arid1b	1069.0	792.0	962.0	327.0	128.0	2070.0	215.0	1777.0	131.0	91.0	0.0	22.0	22.0	7.0	0.0	212.0	85.0	4.0	53.0	119.0
gRNA_741	Arid1b	1838.0	3937.0	4105.0	2432.0	801.0	4447.0	1769.0	268.0	998.0	59.0	476.0	111.0	198.0	22.0	10.0	1235.0	373.0	13.0	491.0	510.0
gRNA_767	Arid1b	422.0	1239.0	129.0	712.0	210.0	8.0	420.0	155.0	31.0	0.0	1.0	0.0	0.0	2.0	2.0	1377.0	491.0	21.0	484.0	440.0
gRNA_768	Arid1b	275.0	115.0	177.0	128.0	55.0	134.0	25.0	4.0	897.0	5.0	125.0	259.0	410.0	49.0	1.0	296.0	110.0	4.0	131.0	101.0
gRNA_769	Arid1b	362.0	1599.0	801.0	1149.0	615.0	1042.0	256.0	97.0	27.0	68.0	9.0	46.0	80.0	5.0	1.0	1035.0	415.0	21.0	328.0	578.0
gRNA_806	Arid1b	0.0	2374.0	2771.0	20.0	344.0	8217.0	90.0	1.0	11.0	8.0	1.0	430.0	430.0	37.0	12.0	329.0	305.0	5.0	2.0	106.0
gRNA_807	Arid1b	157.0	66.0	3.0	41.0	126.0	111.0	5.0	1.0	0.0	1.0	0.0	161.0	65.0	16.0	2.0	328.0	137.0	4.0	38.0	110.0
gRNA_828	Arid2	414.0	618.0	581.0	186.0	64.0	181.0	202.0	1102.0	99.0	709.0	1.0	0.0	4.0	2.0	1.0	218.0	24.0	2.0	15.0	36.0
gRNA_829	Arid2	1792.0	3126.0	2415.0	1846.0	212.0	2323.0	807.0	623.0	97.0	37816.0	368.0	133.0	109.0	10.0	17.0	92.0	15.0	12.0	23.0	23.0
gRNA_830	Arid2	882.0	1336.0	1327.0	1705.0	199.0	1251.0	346.0	36697.0	3190.0	89.0	88.0	156.0	299.0	38.0	14.0	144.0	152.0	10.0	67.0	24.0
gRNA_831	Arid2	601.0	807.0	1045.0	1059.0	91.0	1032.0	2015.0	435.0	114.0	314.0	233.0	239.0	222.0	32.0	5.0	74.0	15.0	4.0	43.0	13.0
gRNA_871	Arid2	342.0	726.0	702.0	1268.0	195.0	519.0	252.0	8.0	36.0	47.0	3.0	86.0	122.0	13.0	1.0	970.0	299.0	19.0	422.0	360.0
gRNA_895	Arid5b	702.0	379.0	158.0	845.0	96.0	41.0	31.0	152.0	41.0	1.0	133.0	18.0	63.0	10.0	2.0	104.0	70.0	2.0	61.0	79.0
gRNA_896	Arid5b	772.0	24.0	108.0	430.0	46.0	629.0	652.0	720.0	69.0	0.0	9588.0	39.0	28.0	10.0	17.0	240.0	104.0	18.0	181.0	59.0
gRNA_901	Arid5b	191.0	11.0	0.0	121.0	26.0	57.0	1.0	32.0	2.0	5.0	0.0	223.0	416.0	26.0	15.0	339.0	332.0	32.0	140.0	189.0
gRNA_974	Asxl2	241.0	1498.0	135.0	548.0	310.0	354.0	17.0	37.0	14.0	20.0	139.0	196.0	625.0	40.0	3.0	953.0	672.0	16.0	512.0	332.0
gRNA_978	Asxl2	382.0	381.0	789.0	580.0	339.0	933.0	26.0	9.0	104.0	22.0	1.0	270.0	458.0	33.0	4.0	967.0	600.0	14.0	550.0	449.0
gRNA_979	Asxl2	176.0	125.0	85.0	221.0	72.0	227.0	107.0	437.0	31.0	172.0	0.0	31.0	75.0	5.0	1.0	362.0	191.0	3.0	162.0	72.0
gRNA_992	Atm	667.0	415.0	1762.0	713.0	68.0	8679.0	246.0	234.0	159.0	150.0	37.0	105.0	357.0	23.0	9.0	191.0	46.0	2.0	22.0	39.0
gRNA_993	Atm	604.0	1363.0	2057.0	773.0	204.0	789.0	929.0	1616.0	159.0	115.0	9997.0	39.0	160.0	25.0	16.0	112.0	29.0	16.0	34.0	21.0
gRNA_999	Atm	1828.0	1854.0	1115.0	2707.0	254.0	459.0	120.0	987.0	167.0	299.0	339.0	109.0	172.0	18.0	2.0	2052.0	744.0	22.0	739.0	564.0
gRNA_1000	Atm	355.0	2616.0	1837.0	706.0	1524.0	2813.0	647.0	6.0	115.0	343.0	26.0	207.0	146.0	17.0	6.0	732.0	367.0	10.0	90.0	347.0
gRNA_1008	Atm	18657.0	17269.0	15527.0	13576.0	2733.0	19600.0	8408.0	47662.0	8712.0	9240.0	444.0	39.0	183.0	22.0	35.0	1943.0	783.0	37.0	522.0	659.0
gRNA_1009	Atm	997.0	871.0	2657.0	1987.0	141.0	3583.0	681.0	127.0	58.0	125.0	309.0	177.0	275.0	21.0	5.0	911.0	408.0	14.0	288.0	599.0
gRNA_1010	Atm	2110.0	1099.0	1147.0	1428.0	198.0	658.0	846.0	19.0	546.0	33.0	33.0	27.0	96.0	10.0	4.0	477.0	292.0	7.0	179.0	195.0
gRNA_1011	Atm	794.0	908.0	272.0	472.0	180.0	226.0	1805.0	621.0	63.0	205.0	124.0	122.0	61.0	7.0	2.0	186.0	37.0	3.0	25.0	16.0
gRNA_1014	Atm	4284.0	2920.0	5730.0	4672.0	849.0	1100.0	1991.0	196.0	2087.0	4852.0	63.0	300.0	376.0	43.0	4.0	2689.0	1111.0	48.0	673.0	890.0
gRNA_1017	Atm	8072.0	3595.0	5626.0	2688.0	408.0	5020.0	1510.0	11.0	100.0	33.0	59.0	25.0	205.0	16.0	3.0	828.0	221.0	14.0	161.0	115.0
gRNA_1018	Atm	1616.0	2339.0	681.0	2041.0	178.0	3580.0	321.0	809.0	94.0	464.0	14.0	22.0	54.0	5.0	8.0	107.0	19.0	2.0	25.0	14.0
gRNA_1035	Atm	472.0	214.0	311.0	455.0	112.0	978.0	188.0	190.0	134.0	2.0	3.0	1.0	135.0	13.0	2.0	477.0	205.0	3.0	74.0	105.0
gRNA_1036	Atm	2408.0	736.0	1012.0	1702.0	128.0	322.0	46.0	302.0	174.0	114.0	49.0	67.0	116.0	17.0	2.0	178.0	76.0	2.0	91.0	214.0
gRNA_1045	Atm	544.0	583.0	182.0	10.0	347.0	97.0	0.0	15.0	9.0	26.0	332.0	229.0	186.0	18.0	2.0	934.0	300.0	34.0	407.0	321.0
gRNA_1046	Atm	2324.0	2365.0	2362.0	379.0	456.0	503.0	1958.0	207.0	29.0	297.0	320.0	204.0	19.0	14.0	3.0	580.0	724.0	10.0	454.0	328.0
gRNA_1047	Atm	99.0	82.0	29.0	33.0	144.0	27.0	0.0	149.0	8.0	5.0	0.0	37.0	148.0	30.0	0.0	110.0	73.0	2.0	1.0	9.0
gRNA_1048	Atm	770.0	981.0	291.0	184.0	319.0	300.0	471.0	148.0	20.0	86.0	0.0	545.0	786.0	71.0	3.0	675.0	194.0	8.0	157.0	153.0
gRNA_1049	Atm	778.0	636.0	298.0	744.0	66.0	50.0	86.0	457.0	36.0	382.0	3.0	0.0	0.0	1.0	6.0	927.0	328.0	11.0	133.0	206.0
gRNA_1056	Atm	165.0	133.0	36.0	577.0	1.0	78.0	975.0	9.0	8.0	186.0	160.0	287.0	147.0	60.0	5.0	47.0	151.0	10.0	31.0	130.0
gRNA_1065	Atm	840.0	1807.0	1822.0	514.0	697.0	629.0	194.0	62.0	20.0	76.0	124.0	39.0	119.0	12.0	3.0	672.0	125.0	2.0	140.0	153.0
gRNA_1066	Atm	1012.0	2946.0	2285.0	791.0	4893.0	581.0	2762.0	3417.0	289.0	45.0	7.0	29.0	384.0	21.0	3.0	1375.0	257.0	10.0	377.0	317.0
gRNA_1069	Atp6v1b2	377.0	1399.0	2502.0	792.0	583.0	18905.0	505.0	189.0	153.0	951.0	729.0	51.0	149.0	14.0	10.0	311.0	184.0	9.0	82.0	153.0
gRNA_1082	Atr	1025.0	596.0	391.0	599.0	35.0	206.0	1368.0	420.0	132.0	145.0	0.0	163.0	271.0	25.0	8.0	932.0	523.0	49.0	389.0	586.0
gRNA_1083	Atr	745.0	368.0	557.0	1857.0	288.0	436.0	132.0	931.0	834.0	137.0	561.0	12.0	121.0	20.0	4.0	858.0	786.0	19.0	773.0	606.0
gRNA_1095	Atr	1379.0	3414.0	1283.0	1825.0	473.0	222.0	779.0	334.0	53.0	895.0	7.0	100.0	91.0	19.0	1.0	499.0	119.0	3.0	109.0	89.0
gRNA_1109	Atr	2617.0	4074.0	1619.0	5127.0	221.0	3311.0	2812.0	476.0	99.0	383.0	8.0	200.0	479.0	34.0	7.0	25.0	37.0	2.0	40.0	65.0
gRNA_1121	Atrx	374.0	473.0	611.0	38.0	99.0	236.0	205.0	2056.0	166.0	40.0	0.0	193.0	187.0	10.0	4.0	781.0	118.0	7.0	81.0	128.0
gRNA_1122	Atrx	604.0	1044.0	112.0	564.0	90.0	113.0	2.0	173.0	57.0	199.0	128.0	0.0	0.0	0.0	1.0	434.0	34.0	0.0	37.0	59.0
gRNA_1127	Atrx	1492.0	866.0	806.0	1025.0	131.0	1737.0	1166.0	501.0	90.0	3371.0	9.0	10.0	567.0	45.0	6.0	281.0	65.0	1.0	127.0	73.0
gRNA_1145	Atrx	2283.0	1683.0	2441.0	1027.0	419.0	898.0	928.0	80.0	163.0	333.0	5292.0	153.0	228.0	24.0	5.0	764.0	240.0	4.0	210.0	166.0
gRNA_1146	Atrx	1759.0	2155.0	711.0	392.0	518.0	769.0	665.0	6.0	17.0	25942.0	347.0	74.0	340.0	37.0	7.0	810.0	326.0	21.0	338.0	231.0
gRNA_1148	Atrx	314.0	519.0	362.0	213.0	602.0	1598.0	58.0	130.0	11.0	97.0	3.0	121.0	333.0	30.0	3.0	1520.0	652.0	36.0	1150.0	677.0
gRNA_1149	Atrx	1071.0	97.0	603.0	710.0	294.0	130.0	3.0	128.0	24131.0	214.0	14.0	285.0	189.0	16.0	2.0	405.0	256.0	15.0	281.0	152.0
gRNA_1150	Atrx	1193.0	277.0	1182.0	1625.0	148.0	2769.0	234.0	58.0	21.0	107.0	2.0	117.0	89.0	8.0	3.0	308.0	108.0	5.0	107.0	86.0
gRNA_1151	Atrx	283.0	151.0	107.0	210.0	4.0	452.0	12.0	0.0	1.0	113.0	3.0	19.0	76.0	10.0	0.0	302.0	49.0	2.0	41.0	90.0
gRNA_1281	B2m	1966.0	1581.0	1055.0	1802.0	393.0	719.0	1243.0	7.0	1938.0	18.0	3.0	25.0	149.0	8.0	2.0	828.0	272.0	6.0	184.0	175.0
gRNA_1282	B2m	5702.0	2236.0	3284.0	3845.0	293.0	1453.0	3415.0	213.0	47.0	235.0	37.0	21.0	87.0	10.0	6.0	1803.0	953.0	22.0	692.0	813.0
gRNA_1283	B2m	183.0	1203.0	254.0	52.0	204.0	302.0	163.0	339.0	28.0	62.0	136.0	0.0	0.0	1.0	2.0	1697.0	727.0	25.0	1427.0	985.0
gRNA_1284	B2m	720.0	1029.0	665.0	874.0	116.0	137.0	41.0	32.0	7.0	33.0	289.0	74.0	120.0	17.0	2.0	596.0	365.0	12.0	237.0	201.0
gRNA_1285	B2m	183.0	13.0	45.0	61.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	159.0	375.0	28.0	2.0	193.0	57.0	0.0	31.0	152.0
gRNA_1313	Bap1	1057.0	1085.0	2390.0	801.0	389.0	9434.0	704.0	7748.0	588.0	104.0	1439.0	135.0	264.0	36.0	14.0	1780.0	897.0	32.0	1364.0	740.0
gRNA_1314	Bap1	601.0	362.0	225.0	302.0	13.0	115.0	1.0	0.0	35.0	9709.0	34.0	0.0	0.0	0.0	2.0	379.0	168.0	52.0	69.0	61.0
gRNA_1317	Bap1	17.0	428.0	41.0	78.0	76.0	86.0	1.0	0.0	1.0	36.0	0.0	16.0	20.0	0.0	1.0	115.0	26.0	3.0	47.0	41.0
gRNA_1318	Bap1	718.0	235.0	27.0	669.0	1.0	17.0	40.0	0.0	6.0	307.0	3.0	0.0	0.0	0.0	0.0	176.0	307.0	6.0	54.0	66.0
gRNA_1321	Bap1	2529.0	2141.0	451.0	2967.0	157.0	203.0	191.0	24807.0	1915.0	178.0	9.0	47.0	296.0	24.0	7.0	494.0	206.0	13.0	258.0	268.0
gRNA_1322	Bap1	2987.0	3492.0	3193.0	2185.0	714.0	1778.0	2748.0	1875.0	241.0	284.0	87.0	48.0	69.0	10.0	3.0	470.0	128.0	5.0	275.0	174.0
gRNA_1337	Bap1	2137.0	2119.0	1261.0	1346.0	57.0	283.0	548.0	1127.0	225.0	25.0	2.0	63.0	145.0	17.0	3.0	696.0	427.0	19.0	189.0	255.0
gRNA_1338	Bap1	1108.0	962.0	416.0	1600.0	145.0	1014.0	293.0	216.0	262.0	72.0	0.0	55.0	107.0	7.0	1.0	485.0	158.0	3.0	102.0	369.0
gRNA_1339	Bap1	257.0	1467.0	1152.0	850.0	1648.0	1092.0	2527.0	1108.0	1274.0	782.0	1259.0	7.0	140.0	12.0	7.0	880.0	208.0	12.0	422.0	269.0
gRNA_1340	Bap1	912.0	529.0	595.0	334.0	306.0	733.0	67.0	269.0	29.0	2.0	192.0	514.0	586.0	92.0	4.0	1057.0	690.0	18.0	542.0	576.0
gRNA_1341	Bap1	263.0	521.0	723.0	306.0	122.0	1134.0	194.0	264.0	29.0	29.0	145.0	43.0	44.0	1.0	5.0	544.0	216.0	5.0	118.0	160.0
gRNA_1342	Bap1	2251.0	900.0	1455.0	764.0	294.0	1768.0	243.0	5.0	204.0	272.0	18.0	81.0	71.0	9.0	5.0	1612.0	1464.0	48.0	1975.0	873.0
gRNA_1343	Bap1	100.0	616.0	566.0	239.0	122.0	539.0	55.0	3004.0	265.0	166.0	1.0	133.0	33.0	2.0	5.0	179.0	49.0	1.0	265.0	115.0
gRNA_1361	Bap1	1928.0	1529.0	1901.0	1316.0	216.0	2243.0	1249.0	82225.0	6131.0	95.0	115.0	311.0	51.0	25.0	23.0	2673.0	1223.0	37.0	1336.0	1213.0
gRNA_1362	Bap1	962.0	1777.0	991.0	1929.0	505.0	174.0	639.0	2858.0	228.0	20.0	128.0	32.0	1.0	8.0	2.0	1353.0	679.0	17.0	564.0	744.0
gRNA_1373	Bcl2	2079.0	1577.0	865.0	2148.0	1316.0	277.0	996.0	1152.0	298.0	668.0	880.0	78.0	448.0	36.0	6.0	1595.0	519.0	21.0	406.0	310.0
gRNA_1374	Bcl2	254.0	286.0	530.0	408.0	35.0	1397.0	195.0	63.0	13.0	13758.0	102.0	42.0	242.0	16.0	3.0	658.0	157.0	11.0	235.0	169.0
gRNA_1375	Bcl2	3019.0	2539.0	1348.0	2218.0	388.0	1340.0	714.0	848.0	137.0	156049.0	973.0	238.0	175.0	38.0	30.0	1338.0	318.0	45.0	539.0	385.0
gRNA_1376	Bcl2	395.0	825.0	436.0	48.0	165.0	129.0	507.0	7.0	3.0	123.0	0.0	272.0	490.0	55.0	4.0	193.0	174.0	9.0	59.0	111.0
gRNA_1377	Bcl2	2656.0	1925.0	1172.0	1081.0	282.0	278.0	190.0	215.0	41.0	211.0	281.0	62.0	248.0	25.0	5.0	223.0	132.0	4.0	153.0	166.0
gRNA_1378	Bcl2	734.0	936.0	140.0	315.0	154.0	64.0	218.0	5.0	6.0	120.0	0.0	5.0	29.0	1.0	0.0	337.0	131.0	4.0	51.0	93.0
gRNA_1379	Bcl2	310.0	1387.0	962.0	336.0	734.0	1056.0	358.0	380.0	235.0	740.0	4254.0	158.0	16.0	28.0	8.0	137.0	504.0	24.0	554.0	180.0
gRNA_1380	Bcl2	60.0	149.0	107.0	40.0	22.0	50.0	202.0	28.0	4.0	0.0	1.0	29.0	73.0	5.0	0.0	468.0	246.0	4.0	356.0	89.0
gRNA_1381	Bcl2	1310.0	2022.0	1027.0	3569.0	440.0	320.0	67.0	307.0	54.0	4047.0	22.0	371.0	789.0	105.0	6.0	582.0	252.0	9.0	304.0	233.0
gRNA_1382	Bcl2	286.0	299.0	228.0	200.0	168.0	34.0	218.0	1.0	11.0	74.0	60.0	49.0	157.0	12.0	1.0	561.0	457.0	10.0	319.0	298.0
gRNA_1383	Bcl2	2090.0	620.0	264.0	2988.0	85.0	703.0	78.0	354.0	72.0	93.0	26.0	45.0	75.0	11.0	3.0	1389.0	810.0	25.0	524.0	315.0
gRNA_1384	Bcl2	171.0	134.0	235.0	63.0	6.0	88.0	8.0	295.0	35.0	0.0	0.0	8.0	0.0	0.0	0.0	228.0	66.0	2.0	61.0	120.0
gRNA_1385	Bcl2	887.0	1574.0	10661.0	524.0	652.0	20391.0	1560.0	147.0	125.0	152.0	185.0	501.0	411.0	40.0	29.0	1722.0	749.0	27.0	638.0	553.0
gRNA_1406	Bcl2	53.0	36.0	353.0	65.0	39.0	391.0	272.0	6.0	4.0	135.0	0.0	31.0	81.0	8.0	1.0	374.0	174.0	10.0	100.0	196.0
gRNA_1407	Bcl2	1309.0	654.0	876.0	2031.0	255.0	865.0	148.0	2336.0	556.0	146.0	354.0	41.0	263.0	25.0	5.0	490.0	497.0	9.0	199.0	1013.0
gRNA_1459	Bcor	749.0	611.0	1003.0	1063.0	410.0	1338.0	1234.0	585.0	436.0	1120.0	1755.0	250.0	387.0	58.0	8.0	3161.0	1717.0	54.0	1872.0	1113.0
gRNA_1460	Bcor	2007.0	1640.0	1268.0	2960.0	2096.0	625.0	510.0	6029.0	483.0	175.0	175.0	456.0	516.0	73.0	10.0	2709.0	2207.0	96.0	1267.0	1322.0
gRNA_1461	Bcor	1907.0	2145.0	1521.0	193.0	392.0	1205.0	359.0	2016.0	148.0	128.0	163.0	34.0	89.0	10.0	1.0	447.0	230.0	12.0	308.0	242.0
gRNA_1463	Bcor	1455.0	2273.0	3274.0	2014.0	677.0	3935.0	4235.0	206.0	96.0	188.0	159.0	258.0	142.0	24.0	13.0	1081.0	236.0	8.0	237.0	163.0
gRNA_1491	Bcor	1919.0	546.0	1652.0	931.0	270.0	1595.0	702.0	239.0	31.0	509.0	917.0	172.0	71.0	11.0	5.0	794.0	182.0	12.0	200.0	286.0
gRNA_1492	Bcor	2969.0	2045.0	1532.0	1566.0	164.0	2767.0	2493.0	1357.0	264.0	214.0	51.0	68.0	139.0	18.0	8.0	1528.0	601.0	12.0	685.0	512.0
gRNA_1545	Braf	715.0	872.0	558.0	995.0	52.0	523.0	507.0	1522.0	150.0	5.0	234.0	0.0	0.0	0.0	1.0	200.0	62.0	0.0	61.0	63.0
gRNA_1548	Braf	2098.0	4137.0	1277.0	2962.0	717.0	1058.0	875.0	1082.0	139.0	4850.0	98.0	57.0	45.0	3.0	6.0	224.0	20.0	4.0	23.0	51.0
gRNA_1549	Braf	535.0	982.0	554.0	880.0	257.0	302.0	283.0	1524.0	129.0	82.0	252.0	236.0	310.0	32.0	3.0	122.0	17.0	2.0	21.0	14.0
gRNA_1550	Braf	1356.0	908.0	2322.0	579.0	213.0	713.0	400.0	243.0	47.0	154.0	297.0	126.0	184.0	11.0	4.0	483.0	131.0	12.0	28.0	117.0
gRNA_1551	Braf	1181.0	824.0	1161.0	778.0	454.0	1001.0	833.0	98.0	94.0	89.0	24.0	295.0	369.0	39.0	2.0	730.0	214.0	9.0	185.0	152.0
gRNA_1552	Braf	2983.0	2247.0	3644.0	1591.0	351.0	3318.0	3323.0	1625.0	191.0	3765.0	25350.0	79.0	207.0	36.0	50.0	250.0	32.0	30.0	91.0	194.0
gRNA_1558	Braf	2050.0	3535.0	2501.0	3361.0	2428.0	1001.0	1367.0	44.0	151.0	256.0	98.0	35.0	28.0	5.0	6.0	3653.0	1440.0	28.0	1277.0	1305.0
gRNA_1559	Braf	897.0	1571.0	670.0	1073.0	340.0	50.0	273.0	4.0	17.0	137.0	0.0	112.0	90.0	13.0	9.0	571.0	273.0	18.0	251.0	144.0
gRNA_1569	Braf	3150.0	20410.0	7946.0	2176.0	1109.0	6435.0	11656.0	6843.0	920.0	3571.0	51.0	4.0	116.0	16.0	4.0	536.0	142.0	9.0	157.0	96.0
gRNA_1570	Braf	1552.0	854.0	449.0	703.0	208.0	941.0	677.0	114.0	38.0	338.0	730.0	187.0	287.0	30.0	5.0	229.0	23.0	4.0	58.0	41.0
gRNA_1573	Braf	792.0	345.0	945.0	577.0	109.0	136.0	459.0	6.0	8.0	0.0	11.0	141.0	78.0	15.0	2.0	272.0	79.0	4.0	77.0	77.0
gRNA_1583	Brca1	1287.0	2743.0	4397.0	1333.0	1320.0	3313.0	421.0	2067.0	1276.0	158.0	6206.0	248.0	100.0	18.0	13.0	1166.0	478.0	21.0	681.0	495.0
gRNA_1588	Brca2	3352.0	2713.0	2694.0	3188.0	111.0	1058.0	2109.0	166.0	73.0	887.0	4962.0	103.0	257.0	25.0	6.0	225.0	11.0	4.0	41.0	24.0
gRNA_1590	Brca2	2427.0	4010.0	2449.0	2177.0	1308.0	1514.0	127.0	6236.0	543.0	616.0	298791.0	439.0	326.0	295.0	353.0	2996.0	1652.0	246.0	1540.0	1371.0
gRNA_1591	Brca2	640.0	831.0	380.0	1413.0	900.0	518.0	1417.0	186.0	33.0	500.0	5.0	203.0	140.0	14.0	1.0	1252.0	803.0	35.0	712.0	469.0
gRNA_1592	Brca2	189.0	328.0	16.0	174.0	35.0	5.0	583.0	240.0	24.0	6.0	20.0	39.0	56.0	5.0	1.0	556.0	97.0	4.0	192.0	237.0
gRNA_1696	Btk	3702.0	18720.0	6532.0	3060.0	1114.0	2423.0	17372.0	4960.0	485.0	2995.0	423.0	474.0	460.0	51.0	15.0	904.0	261.0	10.0	525.0	248.0
gRNA_1725	Card11	676.0	1007.0	1451.0	525.0	100.0	1316.0	910.0	32.0	9.0	2621.0	12.0	157.0	276.0	21.0	3.0	352.0	117.0	5.0	105.0	77.0
gRNA_1726	Card11	306.0	119.0	11.0	544.0	11.0	0.0	44.0	33.0	11.0	0.0	512.0	1.0	0.0	0.0	1.0	37.0	58.0	3.0	39.0	14.0
gRNA_1733	Card11	1052.0	1859.0	473.0	1042.0	699.0	506.0	789.0	1236.0	119.0	128.0	94.0	24.0	158.0	17.0	0.0	557.0	146.0	6.0	201.0	157.0
gRNA_1738	Card11	2899.0	1023.0	1161.0	214.0	248.0	6198.0	130.0	5.0	126.0	230.0	1.0	372.0	349.0	25.0	6.0	507.0	76.0	4.0	51.0	132.0
gRNA_1817	Card11	1075.0	319.0	1182.0	508.0	52.0	432.0	24.0	344.0	111.0	185.0	0.0	11.0	123.0	9.0	2.0	2023.0	944.0	32.0	1060.0	523.0
