sgRNA	gene	spleen1	spleen2	spleen3	spleen4	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5	meninges1	meninges2	meninges3	meninges4	meninges5	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3	plasmidlib
gRNA_283	Ankrd11	280.0	1058.0	650.0	592.0	771.0	803.0	969.0	1369.0	874.0	401.0	128.0	439.0	326.0	1347.0	868.0	996.0	1320.0	1873.0	933.0	850.0	867.0	701.0	1225.0	703.0
gRNA_284	Ankrd11	275.0	398.0	389.0	461.0	1571.0	1180.0	1785.0	481.0	2819.0	598.0	148.0	765.0	2800.0	111.0	620.0	723.0	995.0	797.0	984.0	788.0	1020.0	867.0	936.0	627.0
gRNA_285	Ankrd11	246.0	1623.0	571.0	666.0	3505.0	1626.0	905.0	1251.0	2893.0	412.0	905.0	8137.0	379.0	3253.0	713.0	963.0	1358.0	1359.0	1324.0	1209.0	811.0	712.0	1339.0	785.0
gRNA_292	Apc	644.0	1027.0	1210.0	1311.0	755.0	1609.0	1129.0	543.0	448.0	162.0	3669.0	1768.0	3252.0	345.0	309.0	963.0	1040.0	1051.0	1206.0	1060.0	654.0	458.0	849.0	685.0
gRNA_293	Apc	277.0	675.0	208.0	238.0	1187.0	3548.0	1302.0	207.0	796.0	79.0	1005.0	860.0	955.0	1663.0	246.0	549.0	725.0	845.0	441.0	554.0	926.0	382.0	710.0	383.0
gRNA_299	Apc	439.0	2431.0	775.0	598.0	708.0	2978.0	958.0	1234.0	889.0	115.0	58.0	636.0	1323.0	550.0	661.0	1207.0	1568.0	972.0	1811.0	1360.0	1346.0	1065.0	1372.0	633.0
gRNA_300	Apc	241.0	648.0	506.0	279.0	258.0	1129.0	154.0	107.0	212.0	119.0	376.0	238.0	1010.0	139.0	39.0	403.0	353.0	295.0	288.0	481.0	350.0	234.0	216.0	298.0
gRNA_497	Araf	93.0	249.0	63.0	167.0	97.0	319.0	208.0	14.0	208.0	53.0	777.0	51.0	24.0	215.0	60.0	296.0	131.0	92.0	124.0	94.0	132.0	78.0	131.0	405.0
gRNA_498	Araf	356.0	1053.0	329.0	702.0	877.0	3335.0	843.0	436.0	593.0	992.0	655.0	1071.0	937.0	865.0	717.0	882.0	744.0	1880.0	973.0	849.0	659.0	736.0	877.0	1069.0
gRNA_528	Arid1a	448.0	2019.0	572.0	890.0	990.0	2963.0	625.0	391.0	1252.0	304.0	184.0	2244.0	772.0	7611.0	654.0	1031.0	813.0	1189.0	1167.0	699.0	911.0	793.0	1172.0	840.0
gRNA_594	Arid1a	237.0	336.0	514.0	311.0	404.0	762.0	1333.0	81.0	915.0	501.0	129.0	686.0	857.0	342.0	240.0	902.0	825.0	718.0	723.0	461.0	750.0	529.0	612.0	567.0
gRNA_671	Arid1a	21.0	208.0	52.0	16.0	52.0	89.0	21.0	38.0	92.0	1.0	7.0	21.0	14.0	29.0	312.0	459.0	379.0	162.0	414.0	231.0	351.0	190.0	292.0	422.0
gRNA_736	Arid1b	69.0	189.0	31.0	120.0	139.0	433.0	130.0	92.0	181.0	36.0	1.0	144.0	85.0	304.0	124.0	306.0	93.0	117.0	287.0	265.0	230.0	238.0	301.0	416.0
gRNA_740	Arid1b	277.0	444.0	452.0	291.0	820.0	384.0	573.0	463.0	1052.0	187.0	354.0	1155.0	1992.0	386.0	402.0	488.0	562.0	480.0	387.0	364.0	552.0	441.0	546.0	458.0
gRNA_741	Arid1b	488.0	1112.0	319.0	821.0	1158.0	1242.0	1450.0	899.0	463.0	659.0	176.0	623.0	1317.0	833.0	758.0	1022.0	1545.0	1203.0	1265.0	1067.0	1070.0	811.0	1284.0	766.0
gRNA_767	Arid1b	1097.0	827.0	560.0	506.0	1864.0	2946.0	1607.0	239.0	1409.0	365.0	1204.0	809.0	128.0	711.0	563.0	840.0	993.0	1284.0	1134.0	1290.0	955.0	757.0	1277.0	674.0
gRNA_768	Arid1b	325.0	474.0	342.0	547.0	685.0	1160.0	444.0	118.0	261.0	376.0	387.0	178.0	1779.0	515.0	270.0	545.0	464.0	927.0	849.0	571.0	770.0	433.0	518.0	493.0
gRNA_769	Arid1b	370.0	1272.0	706.0	842.0	2285.0	2663.0	762.0	1174.0	510.0	333.0	1272.0	2875.0	1624.0	301.0	729.0	851.0	1188.0	1146.0	951.0	1031.0	1159.0	908.0	1661.0	625.0
gRNA_806	Arid1b	21.0	4.0	25.0	20.0	0.0	25.0	141.0	68.0	0.0	0.0	0.0	0.0	16.0	181.0	54.0	38.0	27.0	29.0	103.0	46.0	119.0	4.0	28.0	20.0
gRNA_807	Arid1b	51.0	132.0	34.0	45.0	201.0	35.0	60.0	49.0	17.0	4.0	187.0	86.0	48.0	47.0	144.0	126.0	198.0	62.0	12.0	107.0	37.0	36.0	82.0	236.0
gRNA_828	Arid2	391.0	589.0	111.0	257.0	2894.0	736.0	212.0	186.0	1439.0	174.0	418.0	408.0	266.0	2081.0	158.0	606.0	742.0	605.0	679.0	1026.0	1095.0	650.0	771.0	333.0
gRNA_829	Arid2	209.0	1104.0	413.0	865.0	1008.0	842.0	713.0	324.0	1778.0	154.0	282.0	302.0	521.0	96.0	122.0	579.0	893.0	711.0	620.0	697.0	838.0	460.0	765.0	387.0
gRNA_830	Arid2	442.0	963.0	470.0	469.0	1106.0	1439.0	845.0	427.0	551.0	337.0	361.0	950.0	629.0	207.0	239.0	782.0	1174.0	1076.0	993.0	1000.0	1220.0	540.0	694.0	511.0
gRNA_831	Arid2	171.0	534.0	323.0	493.0	394.0	749.0	359.0	296.0	526.0	402.0	165.0	279.0	2457.0	45.0	61.0	547.0	710.0	717.0	682.0	541.0	817.0	490.0	614.0	304.0
gRNA_871	Arid2	830.0	1610.0	1040.0	1037.0	728.0	2154.0	3244.0	692.0	1712.0	900.0	475.0	120.0	249.0	252.0	356.0	724.0	527.0	1310.0	1374.0	741.0	680.0	721.0	1056.0	905.0
gRNA_895	Arid5b	164.0	259.0	198.0	102.0	290.0	1332.0	241.0	479.0	481.0	37.0	88.0	1235.0	189.0	114.0	13.0	81.0	65.0	103.0	399.0	183.0	355.0	209.0	266.0	66.0
gRNA_896	Arid5b	312.0	661.0	434.0	1429.0	650.0	1864.0	1633.0	512.0	1245.0	145.0	25.0	65.0	3340.0	507.0	102.0	336.0	153.0	480.0	567.0	337.0	467.0	285.0	407.0	378.0
gRNA_901	Arid5b	356.0	263.0	81.0	210.0	489.0	432.0	199.0	224.0	355.0	260.0	236.0	264.0	120.0	51.0	50.0	218.0	180.0	306.0	444.0	274.0	166.0	137.0	285.0	318.0
gRNA_974	Asxl2	274.0	968.0	489.0	318.0	728.0	1281.0	1165.0	223.0	619.0	115.0	149.0	1094.0	180.0	969.0	498.0	765.0	772.0	927.0	796.0	732.0	734.0	334.0	759.0	622.0
gRNA_978	Asxl2	771.0	1587.0	723.0	978.0	686.0	1319.0	829.0	828.0	1156.0	937.0	424.0	365.0	272.0	214.0	936.0	871.0	1235.0	1231.0	1061.0	807.0	1086.0	727.0	1071.0	694.0
gRNA_979	Asxl2	179.0	545.0	233.0	287.0	251.0	497.0	675.0	233.0	189.0	625.0	90.0	142.0	943.0	637.0	389.0	519.0	525.0	708.0	588.0	340.0	463.0	348.0	650.0	431.0
gRNA_992	Atm	178.0	627.0	391.0	310.0	1055.0	1323.0	955.0	225.0	984.0	546.0	318.0	90.0	438.0	25.0	186.0	635.0	959.0	1159.0	1214.0	742.0	758.0	485.0	859.0	360.0
gRNA_993	Atm	276.0	711.0	1019.0	1066.0	2354.0	711.0	634.0	342.0	361.0	299.0	32.0	29.0	202.0	88.0	206.0	456.0	667.0	466.0	799.0	710.0	636.0	570.0	849.0	310.0
gRNA_999	Atm	1437.0	3358.0	2177.0	1421.0	3065.0	3593.0	2471.0	1010.0	2123.0	856.0	161.0	486.0	608.0	1990.0	843.0	1290.0	1387.0	1664.0	1521.0	1048.0	1035.0	961.0	1217.0	1049.0
gRNA_1000	Atm	814.0	4957.0	748.0	2543.0	1771.0	2965.0	4056.0	758.0	2011.0	266.0	614.0	1208.0	702.0	3293.0	201.0	484.0	433.0	612.0	944.0	815.0	857.0	658.0	979.0	481.0
gRNA_1008	Atm	1584.0	2068.0	1250.0	1163.0	1819.0	1639.0	3220.0	1422.0	3108.0	609.0	389.0	1027.0	2401.0	4596.0	749.0	1285.0	1432.0	1318.0	1672.0	934.0	1519.0	1189.0	2007.0	997.0
gRNA_1009	Atm	233.0	416.0	326.0	381.0	1716.0	2784.0	744.0	338.0	631.0	2276.0	344.0	509.0	1896.0	166.0	701.0	846.0	1128.0	1510.0	863.0	1326.0	1092.0	693.0	1175.0	790.0
gRNA_1010	Atm	207.0	388.0	244.0	323.0	291.0	314.0	728.0	305.0	317.0	146.0	72.0	501.0	180.0	54.0	64.0	477.0	267.0	402.0	778.0	715.0	647.0	376.0	434.0	450.0
gRNA_1011	Atm	285.0	700.0	275.0	389.0	1438.0	956.0	611.0	768.0	450.0	952.0	77.0	219.0	1142.0	841.0	77.0	735.0	893.0	1213.0	588.0	785.0	821.0	425.0	658.0	440.0
gRNA_1014	Atm	586.0	1413.0	444.0	459.0	896.0	1728.0	1228.0	260.0	795.0	576.0	443.0	241.0	742.0	1036.0	910.0	1230.0	1654.0	1749.0	1733.0	1561.0	1705.0	1231.0	1740.0	823.0
gRNA_1017	Atm	178.0	224.0	434.0	251.0	335.0	658.0	837.0	98.0	216.0	1317.0	239.0	1500.0	35.0	17.0	424.0	666.0	780.0	902.0	595.0	591.0	600.0	558.0	600.0	506.0
gRNA_1018	Atm	175.0	355.0	222.0	226.0	694.0	745.0	412.0	116.0	217.0	88.0	628.0	117.0	411.0	373.0	53.0	525.0	330.0	384.0	509.0	554.0	282.0	246.0	244.0	372.0
gRNA_1035	Atm	708.0	1280.0	936.0	560.0	695.0	884.0	1328.0	110.0	2424.0	1185.0	144.0	177.0	145.0	44.0	127.0	743.0	348.0	590.0	526.0	206.0	339.0	264.0	275.0	688.0
gRNA_1036	Atm	71.0	83.0	48.0	223.0	230.0	169.0	127.0	33.0	58.0	110.0	33.0	3.0	12.0	144.0	28.0	156.0	78.0	209.0	181.0	205.0	233.0	165.0	280.0	253.0
gRNA_1045	Atm	197.0	548.0	112.0	298.0	581.0	668.0	236.0	131.0	477.0	126.0	37.0	190.0	1355.0	61.0	507.0	667.0	703.0	589.0	502.0	444.0	422.0	413.0	727.0	651.0
gRNA_1046	Atm	362.0	2066.0	637.0	783.0	900.0	7475.0	1703.0	165.0	178.0	244.0	273.0	127.0	349.0	129.0	576.0	803.0	572.0	848.0	679.0	817.0	632.0	687.0	917.0	708.0
gRNA_1047	Atm	175.0	215.0	127.0	408.0	105.0	313.0	164.0	509.0	57.0	107.0	159.0	7.0	64.0	725.0	66.0	323.0	297.0	455.0	514.0	425.0	592.0	243.0	425.0	369.0
gRNA_1048	Atm	282.0	1533.0	568.0	322.0	592.0	1724.0	717.0	833.0	991.0	130.0	1519.0	411.0	662.0	399.0	132.0	683.0	493.0	1339.0	1002.0	1025.0	516.0	747.0	788.0	590.0
gRNA_1049	Atm	810.0	1840.0	1098.0	981.0	1930.0	1657.0	1123.0	286.0	389.0	796.0	210.0	159.0	700.0	95.0	438.0	960.0	1065.0	1203.0	1179.0	1135.0	582.0	552.0	654.0	823.0
gRNA_1056	Atm	201.0	646.0	244.0	327.0	261.0	548.0	247.0	27.0	104.0	2.0	18.0	75.0	1019.0	1569.0	248.0	367.0	416.0	790.0	562.0	522.0	420.0	228.0	389.0	378.0
gRNA_1065	Atm	241.0	508.0	363.0	292.0	607.0	772.0	1306.0	374.0	899.0	15.0	1161.0	119.0	1782.0	696.0	329.0	718.0	705.0	983.0	930.0	606.0	528.0	527.0	813.0	703.0
gRNA_1066	Atm	412.0	1579.0	1215.0	464.0	1069.0	1933.0	2319.0	710.0	3360.0	10244.0	657.0	854.0	823.0	2331.0	1146.0	1088.0	2012.0	1537.0	1422.0	1416.0	1186.0	1101.0	1765.0	858.0
gRNA_1069	Atp6v1b2	272.0	986.0	414.0	446.0	438.0	814.0	372.0	163.0	598.0	902.0	418.0	3.0	282.0	329.0	249.0	560.0	371.0	472.0	738.0	863.0	826.0	412.0	808.0	462.0
gRNA_1082	Atr	350.0	1182.0	410.0	617.0	1181.0	1509.0	682.0	483.0	1428.0	406.0	399.0	318.0	1382.0	2567.0	660.0	890.0	1278.0	927.0	1074.0	751.0	571.0	650.0	859.0	761.0
gRNA_1083	Atr	484.0	1459.0	574.0	677.0	1100.0	1311.0	1279.0	450.0	200.0	528.0	702.0	2413.0	1593.0	1251.0	1101.0	973.0	1594.0	1258.0	1312.0	1201.0	801.0	716.0	1280.0	773.0
gRNA_1095	Atr	244.0	640.0	458.0	463.0	989.0	1038.0	736.0	350.0	404.0	124.0	177.0	4850.0	1561.0	491.0	244.0	599.0	746.0	730.0	791.0	481.0	704.0	336.0	622.0	471.0
gRNA_1109	Atr	212.0	589.0	630.0	412.0	515.0	775.0	777.0	179.0	302.0	1205.0	628.0	307.0	428.0	146.0	45.0	459.0	542.0	454.0	681.0	617.0	724.0	212.0	612.0	247.0
gRNA_1121	Atrx	243.0	878.0	329.0	424.0	865.0	3555.0	580.0	289.0	249.0	87.0	2461.0	281.0	486.0	121.0	425.0	899.0	876.0	1454.0	1571.0	881.0	1281.0	840.0	1086.0	706.0
gRNA_1122	Atrx	346.0	879.0	568.0	306.0	1169.0	2941.0	793.0	729.0	686.0	300.0	143.0	948.0	1385.0	98.0	243.0	905.0	755.0	1276.0	1709.0	1135.0	1186.0	758.0	1030.0	827.0
gRNA_1127	Atrx	211.0	325.0	111.0	431.0	1454.0	437.0	347.0	255.0	548.0	202.0	225.0	561.0	436.0	217.0	251.0	605.0	1111.0	631.0	1079.0	1104.0	1140.0	563.0	796.0	466.0
gRNA_1145	Atrx	429.0	505.0	426.0	282.0	869.0	929.0	930.0	133.0	388.0	159.0	154.0	727.0	272.0	6357.0	406.0	813.0	836.0	544.0	860.0	755.0	844.0	575.0	850.0	713.0
gRNA_1146	Atrx	346.0	704.0	805.0	897.0	2428.0	882.0	1130.0	697.0	979.0	190.0	147.0	666.0	269.0	317.0	556.0	856.0	1033.0	1120.0	950.0	815.0	1144.0	954.0	1085.0	898.0
gRNA_1148	Atrx	190.0	180.0	129.0	158.0	418.0	405.0	258.0	92.0	305.0	134.0	467.0	4.0	71.0	769.0	196.0	315.0	169.0	875.0	465.0	511.0	487.0	426.0	842.0	387.0
gRNA_1149	Atrx	233.0	350.0	253.0	540.0	897.0	453.0	482.0	435.0	1036.0	328.0	31.0	128.0	1538.0	200.0	40.0	234.0	140.0	601.0	605.0	594.0	587.0	514.0	485.0	348.0
gRNA_1150	Atrx	295.0	857.0	275.0	439.0	1444.0	2705.0	1302.0	814.0	745.0	151.0	423.0	1148.0	1988.0	712.0	221.0	963.0	1357.0	1339.0	1418.0	1049.0	1435.0	663.0	1200.0	655.0
gRNA_1151	Atrx	157.0	370.0	214.0	313.0	296.0	279.0	239.0	164.0	855.0	893.0	163.0	233.0	273.0	58.0	244.0	573.0	614.0	662.0	797.0	480.0	596.0	457.0	504.0	481.0
gRNA_1281	B2m	322.0	674.0	259.0	378.0	220.0	403.0	485.0	81.0	334.0	52.0	214.0	1306.0	105.0	51.0	180.0	485.0	503.0	530.0	687.0	671.0	556.0	427.0	726.0	463.0
gRNA_1282	B2m	571.0	859.0	520.0	939.0	1376.0	1747.0	1218.0	438.0	574.0	275.0	662.0	4526.0	103.0	5226.0	1143.0	1029.0	1559.0	2226.0	1670.0	1735.0	1511.0	1019.0	1297.0	786.0
gRNA_1283	B2m	165.0	431.0	72.0	237.0	273.0	906.0	2093.0	565.0	361.0	295.0	113.0	178.0	267.0	700.0	669.0	547.0	796.0	912.0	983.0	435.0	620.0	580.0	752.0	443.0
gRNA_1284	B2m	243.0	474.0	164.0	183.0	717.0	909.0	565.0	839.0	538.0	369.0	177.0	688.0	33.0	1627.0	294.0	923.0	551.0	833.0	1032.0	517.0	515.0	461.0	631.0	806.0
gRNA_1285	B2m	132.0	729.0	187.0	45.0	314.0	727.0	109.0	142.0	275.0	105.0	49.0	1708.0	109.0	51.0	68.0	332.0	256.0	385.0	670.0	317.0	562.0	214.0	487.0	439.0
gRNA_1313	Bap1	307.0	1327.0	645.0	388.0	837.0	1888.0	778.0	252.0	764.0	429.0	135.0	3391.0	1557.0	438.0	1042.0	786.0	971.0	719.0	789.0	788.0	846.0	502.0	840.0	817.0
gRNA_1314	Bap1	139.0	373.0	267.0	217.0	632.0	706.0	829.0	127.0	269.0	14.0	318.0	611.0	84.0	711.0	335.0	583.0	529.0	348.0	230.0	496.0	388.0	373.0	364.0	523.0
gRNA_1317	Bap1	77.0	368.0	200.0	127.0	363.0	453.0	252.0	150.0	397.0	225.0	2729.0	1610.0	86.0	719.0	151.0	434.0	404.0	399.0	409.0	651.0	469.0	331.0	438.0	505.0
gRNA_1318	Bap1	101.0	727.0	113.0	136.0	346.0	1069.0	176.0	74.0	365.0	116.0	184.0	92.0	1011.0	83.0	307.0	393.0	357.0	451.0	407.0	317.0	415.0	429.0	674.0	356.0
gRNA_1321	Bap1	421.0	891.0	711.0	439.0	2245.0	1003.0	2621.0	347.0	333.0	394.0	190.0	345.0	228.0	877.0	437.0	734.0	659.0	1301.0	1064.0	989.0	976.0	733.0	1180.0	601.0
gRNA_1322	Bap1	206.0	483.0	182.0	389.0	1330.0	668.0	930.0	277.0	821.0	249.0	94.0	194.0	206.0	199.0	177.0	489.0	263.0	1405.0	1423.0	641.0	1151.0	811.0	891.0	476.0
gRNA_1337	Bap1	1274.0	2115.0	1835.0	1312.0	1326.0	2856.0	3468.0	487.0	1935.0	210.0	564.0	575.0	258.0	178.0	261.0	489.0	621.0	845.0	957.0	383.0	479.0	534.0	688.0	545.0
gRNA_1338	Bap1	226.0	664.0	368.0	671.0	628.0	1101.0	463.0	355.0	538.0	102.0	767.0	1325.0	926.0	167.0	260.0	678.0	771.0	788.0	1094.0	749.0	576.0	671.0	966.0	535.0
gRNA_1339	Bap1	285.0	598.0	205.0	1413.0	322.0	1052.0	881.0	327.0	380.0	199.0	295.0	272.0	354.0	159.0	408.0	696.0	553.0	986.0	486.0	621.0	714.0	677.0	734.0	543.0
gRNA_1340	Bap1	568.0	1350.0	714.0	695.0	1077.0	667.0	1378.0	653.0	425.0	494.0	288.0	1126.0	213.0	10041.0	757.0	931.0	1092.0	1357.0	1859.0	981.0	1240.0	1414.0	1855.0	730.0
gRNA_1341	Bap1	255.0	327.0	363.0	590.0	641.0	1028.0	1223.0	182.0	479.0	103.0	410.0	210.0	473.0	428.0	198.0	701.0	391.0	702.0	859.0	622.0	719.0	547.0	583.0	555.0
gRNA_1342	Bap1	84.0	372.0	287.0	125.0	569.0	620.0	455.0	138.0	284.0	103.0	31.0	117.0	640.0	430.0	545.0	502.0	654.0	572.0	685.0	795.0	646.0	437.0	747.0	522.0
gRNA_1343	Bap1	114.0	406.0	131.0	165.0	307.0	743.0	1128.0	267.0	245.0	418.0	227.0	170.0	266.0	545.0	84.0	432.0	138.0	386.0	479.0	204.0	373.0	242.0	282.0	437.0
gRNA_1361	Bap1	1439.0	2212.0	916.0	1509.0	1967.0	4743.0	1329.0	4703.0	1669.0	970.0	333.0	2146.0	2290.0	177.0	907.0	1012.0	828.0	1180.0	1485.0	1217.0	1160.0	718.0	1403.0	948.0
gRNA_1362	Bap1	267.0	691.0	454.0	412.0	464.0	1291.0	565.0	442.0	1435.0	199.0	1877.0	297.0	452.0	567.0	565.0	847.0	1067.0	893.0	887.0	808.0	955.0	709.0	1216.0	741.0
gRNA_1373	Bcl2	472.0	876.0	803.0	1356.0	728.0	1723.0	1415.0	547.0	2621.0	1822.0	975.0	2492.0	1235.0	80.0	1036.0	1139.0	1400.0	1594.0	1190.0	1274.0	1208.0	844.0	1272.0	896.0
gRNA_1374	Bcl2	88.0	472.0	182.0	319.0	368.0	950.0	349.0	333.0	493.0	126.0	298.0	37.0	242.0	222.0	366.0	490.0	669.0	415.0	698.0	702.0	459.0	429.0	533.0	452.0
gRNA_1375	Bcl2	800.0	1386.0	495.0	715.0	1856.0	1191.0	676.0	228.0	1438.0	252.0	544.0	19.0	1406.0	93.0	565.0	1024.0	1190.0	981.0	1769.0	811.0	1362.0	852.0	1152.0	847.0
gRNA_1376	Bcl2	355.0	882.0	1216.0	282.0	389.0	613.0	801.0	138.0	965.0	205.0	130.0	711.0	69.0	230.0	62.0	245.0	156.0	291.0	398.0	412.0	336.0	316.0	560.0	448.0
gRNA_1377	Bcl2	162.0	499.0	194.0	530.0	501.0	452.0	858.0	156.0	198.0	261.0	772.0	361.0	219.0	1811.0	193.0	514.0	293.0	395.0	649.0	510.0	468.0	306.0	367.0	537.0
gRNA_1378	Bcl2	117.0	341.0	161.0	59.0	236.0	347.0	524.0	31.0	140.0	29.0	36.0	178.0	527.0	5.0	44.0	280.0	171.0	224.0	237.0	207.0	305.0	153.0	263.0	333.0
gRNA_1379	Bcl2	86.0	132.0	154.0	134.0	231.0	122.0	562.0	23.0	167.0	126.0	66.0	18.0	193.0	86.0	84.0	238.0	127.0	103.0	173.0	209.0	130.0	110.0	85.0	651.0
gRNA_1380	Bcl2	71.0	237.0	138.0	91.0	211.0	84.0	211.0	78.0	49.0	24.0	11.0	7.0	2.0	14.0	50.0	242.0	104.0	70.0	111.0	37.0	148.0	69.0	52.0	453.0
gRNA_1381	Bcl2	290.0	543.0	183.0	153.0	315.0	808.0	1027.0	86.0	203.0	304.0	40.0	547.0	75.0	442.0	86.0	334.0	139.0	405.0	533.0	379.0	257.0	249.0	248.0	644.0
gRNA_1382	Bcl2	81.0	336.0	104.0	224.0	391.0	519.0	371.0	161.0	153.0	842.0	43.0	20.0	254.0	421.0	77.0	328.0	175.0	476.0	759.0	243.0	397.0	274.0	333.0	530.0
gRNA_1383	Bcl2	114.0	218.0	112.0	183.0	656.0	199.0	218.0	293.0	452.0	209.0	43.0	34.0	108.0	77.0	121.0	138.0	125.0	258.0	178.0	224.0	179.0	93.0	157.0	336.0
gRNA_1384	Bcl2	167.0	402.0	124.0	140.0	190.0	545.0	417.0	37.0	222.0	357.0	478.0	185.0	224.0	125.0	121.0	619.0	181.0	241.0	251.0	278.0	314.0	186.0	282.0	605.0
gRNA_1385	Bcl2	220.0	871.0	351.0	558.0	1327.0	1475.0	708.0	447.0	534.0	2145.0	540.0	262.0	205.0	550.0	232.0	557.0	366.0	532.0	453.0	504.0	549.0	503.0	534.0	704.0
gRNA_1406	Bcl2	27.0	122.0	22.0	68.0	171.0	177.0	91.0	19.0	146.0	40.0	14.0	128.0	142.0	17.0	97.0	156.0	156.0	135.0	129.0	133.0	68.0	75.0	106.0	406.0
gRNA_1407	Bcl2	140.0	1515.0	234.0	47.0	940.0	1422.0	453.0	166.0	322.0	188.0	406.0	1157.0	235.0	30.0	77.0	481.0	224.0	168.0	571.0	341.0	343.0	272.0	320.0	502.0
gRNA_1459	Bcor	849.0	1706.0	568.0	947.0	1026.0	3574.0	3037.0	449.0	386.0	514.0	160.0	2950.0	555.0	361.0	1592.0	1007.0	1493.0	1550.0	1329.0	1195.0	1029.0	791.0	1393.0	964.0
gRNA_1460	Bcor	762.0	1780.0	727.0	1171.0	4234.0	2825.0	1562.0	1004.0	676.0	699.0	1860.0	311.0	2894.0	239.0	1732.0	1506.0	1721.0	1478.0	2408.0	1443.0	1393.0	1421.0	1610.0	1153.0
gRNA_1461	Bcor	228.0	951.0	512.0	1104.0	531.0	2125.0	644.0	1632.0	280.0	268.0	209.0	112.0	90.0	118.0	440.0	693.0	401.0	527.0	613.0	441.0	402.0	338.0	536.0	518.0
gRNA_1463	Bcor	380.0	1976.0	467.0	927.0	905.0	1428.0	3254.0	378.0	860.0	89.0	2229.0	928.0	561.0	1758.0	817.0	873.0	1187.0	849.0	744.0	677.0	1149.0	815.0	910.0	525.0
gRNA_1491	Bcor	547.0	1026.0	446.0	245.0	1064.0	1453.0	550.0	540.0	407.0	315.0	347.0	4211.0	1915.0	279.0	717.0	852.0	1347.0	1610.0	1600.0	1333.0	991.0	772.0	1352.0	633.0
