sgRNA	gene	spleen1	spleen2	spleen3	spleen4	spleen5	spleen6	spleen7	spleen8	spleen9	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5	bonemarrow6	bonemarrow7	bonemarrow8	bonemarrow9	bonemarrow10	meninges1	meninges2	meninges3	meninges4	meninges5	meninges6	meninges7	meninges8	meninges9	meninges10	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3	plasmidlib
gRNA_15	Abl1	1414.0	5051.0	3317.0	4558.0	4001.0	5601.0	2163.0	639.0	2241.0	4082.0	1785.0	1605.0	369.0	68.0	5749.0	337.0	316.0	565.0	497.0	3053.0	1640.0	6320.0	715.0	74.0	6155.0	23226.0	11966.0	1029.0	8783.0	3448.0	4094.0	4135.0	4629.0	3575.0	2521.0	6818.0	3342.0	2036.0	2428.0
gRNA_16	Abl1	5789.0	2638.0	3244.0	5374.0	4592.0	3917.0	2080.0	6092.0	2714.0	2052.0	3105.0	508.0	5265.0	1459.0	1743.0	729.0	11702.0	11068.0	13848.0	875.0	228.0	86.0	1376.0	606.0	1343.0	316.0	413.0	3666.0	135.0	1147.0	1297.0	3231.0	3642.0	2230.0	3303.0	7248.0	2961.0	3537.0	1884.0
gRNA_17	Abl1	606.0	1827.0	1168.0	1573.0	718.0	2203.0	4601.0	688.0	1629.0	201.0	284.0	726.0	1398.0	795.0	1111.0	1237.0	877.0	738.0	1030.0	41.0	89.0	695.0	3769.0	218.0	235.0	1153.0	366.0	122.0	2136.0	1044.0	1188.0	1340.0	2530.0	638.0	1282.0	1050.0	1296.0	1598.0	1051.0
gRNA_18	Abl1	395.0	72.0	2109.0	686.0	1191.0	887.0	831.0	369.0	1670.0	5475.0	153.0	48.0	105.0	3702.0	133.0	1449.0	349.0	385.0	2090.0	66.0	20.0	2013.0	2495.0	197.0	1081.0	222.0	28.0	1261.0	47.0	952.0	1436.0	935.0	644.0	465.0	833.0	310.0	422.0	1207.0	848.0
gRNA_19	Abl1	1058.0	1124.0	2843.0	3453.0	2014.0	1209.0	1233.0	616.0	2783.0	598.0	1188.0	5298.0	1640.0	3071.0	496.0	1057.0	545.0	672.0	2964.0	151.0	48.0	124.0	340.0	184.0	1493.0	15556.0	1226.0	84.0	27.0	550.0	884.0	625.0	399.0	897.0	984.0	557.0	605.0	272.0	1210.0
gRNA_20	Abl1	50.0	7571.0	2186.0	1572.0	1764.0	147.0	942.0	544.0	423.0	93.0	728.0	1039.0	1006.0	326.0	492.0	3351.0	548.0	484.0	365.0	117.0	233.0	64.0	153.0	169.0	487.0	656.0	54.0	679.0	215.0	118.0	790.0	507.0	1189.0	281.0	797.0	852.0	2661.0	764.0	713.0
gRNA_21	Abl1	527.0	762.0	701.0	807.0	71.0	789.0	1078.0	490.0	777.0	674.0	338.0	93.0	112.0	32.0	37.0	1108.0	131.0	1399.0	7534.0	168.0	45.0	144.0	67.0	145.0	570.0	437.0	188.0	58.0	81951.0	232.0	853.0	911.0	3534.0	686.0	1776.0	3808.0	1812.0	1859.0	914.0
gRNA_22	Abl1	349.0	826.0	488.0	1429.0	1445.0	574.0	1374.0	797.0	531.0	953.0	324.0	285.0	6619.0	80.0	574.0	723.0	436.0	307.0	539.0	801.0	1510.0	77.0	195.0	82.0	849.0	5223.0	321.0	16.0	44.0	853.0	1077.0	615.0	961.0	622.0	1546.0	2134.0	1708.0	1066.0	755.0
gRNA_23	Abl1	621.0	387.0	310.0	1173.0	115.0	2295.0	952.0	419.0	789.0	218.0	566.0	189.0	2355.0	778.0	194.0	85.0	12.0	1484.0	3373.0	112.0	90.0	78.0	145.0	150.0	961.0	230.0	5.0	3.0	719.0	233.0	737.0	521.0	117.0	130.0	1451.0	252.0	829.0	1497.0	543.0
gRNA_24	Actg1	3392.0	891.0	1943.0	2066.0	1854.0	2233.0	1068.0	1246.0	2536.0	1350.0	52.0	1521.0	6892.0	858.0	4898.0	1421.0	1615.0	1760.0	384.0	581.0	55.0	175.0	201.0	33.0	1203.0	7040.0	353.0	3249.0	717.0	1556.0	1510.0	2017.0	2242.0	765.0	1445.0	1511.0	2422.0	861.0	1516.0
gRNA_25	Actg1	392.0	1230.0	361.0	3611.0	908.0	1267.0	2788.0	401.0	952.0	105.0	232.0	83.0	153.0	25.0	98.0	2574.0	73.0	1020.0	218.0	65.0	3435.0	371.0	237.0	113.0	952.0	7233.0	573.0	32.0	19299.0	1899.0	2365.0	2824.0	2094.0	474.0	1454.0	3459.0	1697.0	1081.0	1276.0
gRNA_26	Actg1	1684.0	1413.0	595.0	247.0	2649.0	645.0	51.0	462.0	777.0	1495.0	838.0	600.0	719.0	45.0	2758.0	338.0	4.0	2190.0	962.0	12.0	120.0	7.0	9.0	3.0	197.0	48.0	202.0	686.0	328.0	534.0	372.0	574.0	385.0	920.0	203.0	102.0	106.0	180.0	557.0
gRNA_27	Actg1	403.0	531.0	164.0	291.0	20.0	419.0	598.0	228.0	274.0	247.0	184.0	1.0	1.0	0.0	53.0	16.0	43.0	62.0	131.0	6.0	3.0	3.0	21.0	3.0	244.0	309.0	81.0	10.0	45.0	84.0	284.0	264.0	566.0	225.0	434.0	169.0	31.0	1421.0	386.0
gRNA_28	Actg1	731.0	1420.0	1707.0	1037.0	449.0	662.0	2238.0	905.0	1082.0	348.0	1857.0	1747.0	1292.0	69.0	388.0	774.0	301.0	144.0	1743.0	64.0	88.0	32.0	4613.0	467.0	715.0	204.0	632.0	1341.0	1108.0	1634.0	1620.0	2724.0	2038.0	463.0	1442.0	1037.0	3556.0	1521.0	1421.0
gRNA_29	Actg1	3974.0	1796.0	3617.0	1212.0	7671.0	3323.0	2627.0	1208.0	4349.0	592.0	1082.0	1134.0	1643.0	1800.0	820.0	4887.0	6414.0	2598.0	9104.0	453.0	1292.0	193.0	562.0	83.0	731.0	225.0	275.0	30.0	176.0	1444.0	1661.0	1241.0	2268.0	554.0	1890.0	2345.0	1810.0	4158.0	1329.0
gRNA_30	Actg1	2207.0	3700.0	3800.0	1300.0	1392.0	767.0	2771.0	2125.0	1534.0	1509.0	588.0	12458.0	665.0	898.0	57.0	4722.0	2155.0	1586.0	2952.0	211.0	115.0	100.0	204.0	16.0	229.0	65.0	8.0	416.0	30.0	690.0	923.0	2283.0	326.0	1718.0	802.0	866.0	268.0	1436.0	1196.0
gRNA_31	Actg1	4812.0	1191.0	5515.0	2684.0	2424.0	1389.0	7443.0	2215.0	804.0	1491.0	2252.0	1750.0	9960.0	114.0	1071.0	2243.0	541.0	4115.0	411.0	344.0	19.0	110.0	189.0	1095.0	1569.0	456.0	9.0	893.0	302.0	1861.0	2426.0	2443.0	2413.0	3272.0	1242.0	2030.0	2195.0	1160.0	1519.0
gRNA_32	Acvr1	58.0	2647.0	956.0	1600.0	1048.0	2687.0	818.0	954.0	122.0	11.0	7176.0	296.0	3243.0	1848.0	2281.0	2094.0	2160.0	671.0	195.0	73.0	157.0	209.0	146.0	4381.0	589.0	310.0	168.0	21.0	405.0	589.0	1120.0	1495.0	696.0	500.0	1562.0	1855.0	83.0	1550.0	641.0
gRNA_33	Acvr1	1536.0	637.0	2055.0	868.0	924.0	1074.0	3256.0	924.0	524.0	1390.0	702.0	140.0	74.0	2473.0	1688.0	917.0	1873.0	1772.0	737.0	420.0	159.0	733.0	3511.0	439.0	1074.0	495.0	183.0	19.0	20.0	1301.0	1812.0	2402.0	2931.0	918.0	2501.0	2467.0	921.0	4422.0	1430.0
gRNA_34	Acvr1	456.0	630.0	2115.0	1057.0	1592.0	827.0	782.0	191.0	1534.0	28.0	143.0	74.0	305.0	245.0	329.0	86.0	177.0	1212.0	12584.0	144.0	2113.0	232.0	483.0	548.0	489.0	2951.0	170.0	12.0	50.0	2076.0	1142.0	1459.0	1389.0	2501.0	1644.0	2155.0	1267.0	1136.0	979.0
gRNA_35	Acvr1	4655.0	4391.0	1604.0	3395.0	1946.0	737.0	1712.0	930.0	1074.0	10358.0	1089.0	4213.0	3374.0	662.0	306.0	790.0	185.0	1291.0	1714.0	169.0	97.0	46.0	43.0	2841.0	461.0	213.0	18.0	6.0	6.0	1222.0	666.0	890.0	1842.0	400.0	1394.0	688.0	595.0	628.0	980.0
gRNA_36	Acvr1	641.0	633.0	876.0	1178.0	1717.0	807.0	1084.0	820.0	1067.0	59.0	1060.0	1297.0	927.0	326.0	82.0	195.0	87.0	451.0	1518.0	44.0	69.0	24.0	26.0	22.0	661.0	2488.0	275.0	2012.0	658.0	525.0	1787.0	1972.0	498.0	2810.0	1385.0	1551.0	2204.0	1120.0	1108.0
gRNA_37	Acvr1	788.0	967.0	2901.0	936.0	817.0	2702.0	1606.0	848.0	917.0	810.0	98.0	664.0	40.0	793.0	1351.0	822.0	1418.0	2301.0	2534.0	16.0	25.0	16617.0	880.0	4912.0	548.0	355.0	196.0	311.0	2106.0	1676.0	750.0	1009.0	186.0	277.0	1654.0	695.0	2718.0	2207.0	840.0
gRNA_38	Acvr1	1277.0	7404.0	2208.0	220.0	3655.0	765.0	2788.0	8508.0	1231.0	3792.0	1379.0	452.0	819.0	20531.0	268.0	2029.0	7732.0	5569.0	407.0	45.0	206.0	24.0	11.0	193.0	242.0	258.0	249.0	451.0	24.0	912.0	793.0	1045.0	669.0	1773.0	960.0	485.0	200.0	984.0	786.0
gRNA_39	Acvr1	888.0	245.0	781.0	1537.0	1007.0	2324.0	1653.0	198.0	1152.0	1620.0	22.0	770.0	1089.0	3085.0	249.0	520.0	52.0	492.0	214.0	37.0	4.0	15.0	11.0	3.0	215.0	210.0	95.0	10.0	1600.0	1195.0	1011.0	918.0	875.0	1982.0	800.0	246.0	1489.0	876.0	952.0
gRNA_40	Acvr1	1314.0	1218.0	591.0	1141.0	972.0	559.0	1210.0	2023.0	807.0	143.0	1584.0	673.0	646.0	513.0	1559.0	555.0	526.0	972.0	4551.0	92.0	6.0	519.0	539.0	126.0	300.0	107.0	7.0	1280.0	44.0	207.0	778.0	497.0	335.0	243.0	1454.0	118.0	2344.0	431.0	603.0
gRNA_41	Acvr1	416.0	615.0	988.0	469.0	544.0	1837.0	946.0	640.0	125.0	411.0	510.0	887.0	151.0	9.0	2415.0	15.0	562.0	391.0	52.0	152.0	6.0	8.0	24.0	10.0	581.0	315.0	130.0	319.0	30.0	554.0	369.0	926.0	304.0	1094.0	797.0	1393.0	320.0	344.0	577.0
gRNA_42	Acvr1	2390.0	1993.0	1799.0	4224.0	2364.0	585.0	1266.0	1720.0	1162.0	2221.0	1905.0	2940.0	1189.0	1537.0	1116.0	316.0	1637.0	6418.0	5114.0	655.0	5355.0	426.0	222.0	190.0	1279.0	4541.0	229.0	18.0	67.0	3028.0	2654.0	4069.0	1315.0	3664.0	2506.0	898.0	2399.0	3276.0	1716.0
gRNA_43	Acvr1	1542.0	1219.0	1169.0	732.0	2666.0	1009.0	1143.0	238.0	1208.0	579.0	777.0	2020.0	757.0	14.0	198.0	293.0	2513.0	1448.0	1376.0	168.0	201.0	25.0	706.0	61.0	366.0	598.0	44.0	12.0	438.0	1866.0	1734.0	2461.0	933.0	3043.0	575.0	1112.0	2865.0	871.0	1089.0
gRNA_44	Acvr1	777.0	550.0	2999.0	1675.0	4922.0	1253.0	1486.0	2930.0	1355.0	203.0	614.0	5609.0	3002.0	66.0	735.0	502.0	2333.0	1064.0	1205.0	185.0	18.0	54.0	119.0	415.0	465.0	16766.0	8562.0	954.0	147.0	1297.0	911.0	563.0	935.0	4202.0	1361.0	462.0	2371.0	1216.0	381.0
gRNA_45	Acvr1	296.0	404.0	395.0	406.0	710.0	1088.0	727.0	807.0	362.0	20.0	261.0	72.0	2830.0	154.0	1172.0	1031.0	407.0	395.0	27.0	74.0	32.0	106.0	20901.0	1509.0	525.0	260.0	455.0	40.0	12.0	976.0	1200.0	868.0	847.0	417.0	647.0	2171.0	509.0	894.0	706.0
gRNA_46	Acvr1	201.0	62.0	565.0	5.0	178.0	125.0	6.0	63.0	105.0	9.0	76.0	135.0	3.0	27.0	0.0	369.0	315.0	1055.0	15.0	2.0	1.0	2.0	2.0	1.0	511.0	94.0	5.0	0.0	117.0	579.0	245.0	100.0	38.0	69.0	316.0	205.0	31.0	341.0	240.0
gRNA_47	Acvr1	491.0	625.0	419.0	607.0	650.0	815.0	647.0	180.0	483.0	191.0	182.0	206.0	127.0	92.0	268.0	668.0	1913.0	652.0	227.0	75.0	27.0	7.0	6.0	457.0	713.0	381.0	13.0	56.0	534.0	185.0	104.0	118.0	33.0	40.0	393.0	74.0	528.0	493.0	560.0
gRNA_48	Acvr1	5838.0	637.0	907.0	936.0	2982.0	1652.0	1427.0	123.0	3712.0	323.0	498.0	247.0	2783.0	3342.0	2437.0	940.0	73.0	2071.0	4846.0	1748.0	39.0	3657.0	232.0	44.0	7053.0	1338.0	24.0	240.0	34.0	1256.0	1025.0	2460.0	1485.0	770.0	925.0	3587.0	944.0	1166.0	1083.0
gRNA_49	Acvr1	684.0	1366.0	483.0	386.0	2988.0	580.0	280.0	583.0	198.0	270.0	527.0	1112.0	1121.0	1735.0	155.0	49.0	546.0	678.0	664.0	124.0	19.0	12.0	152.0	4256.0	1063.0	1178.0	455.0	55.0	11.0	1531.0	844.0	1570.0	733.0	269.0	778.0	560.0	892.0	1625.0	981.0
gRNA_50	Acvr1	775.0	1549.0	1488.0	1512.0	1475.0	356.0	1208.0	7051.0	976.0	339.0	2107.0	442.0	685.0	3776.0	4464.0	4303.0	26631.0	1510.0	1168.0	115.0	108.0	48.0	98.0	41.0	194.0	62.0	105.0	749.0	36.0	3262.0	1623.0	1633.0	1952.0	324.0	1042.0	819.0	1361.0	875.0	1078.0
gRNA_51	Acvr1	1888.0	2565.0	1841.0	3199.0	1809.0	2033.0	1501.0	1682.0	2159.0	589.0	1200.0	1332.0	1461.0	1808.0	213.0	2120.0	870.0	2340.0	2221.0	1114.0	138.0	174.0	127.0	308.0	1499.0	6735.0	623.0	34750.0	1204.0	3356.0	4889.0	4843.0	3243.0	1495.0	3118.0	9513.0	2019.0	2651.0	1514.0
gRNA_52	Acvr1	3391.0	1752.0	1047.0	1277.0	1010.0	332.0	3381.0	1511.0	1728.0	1579.0	941.0	243.0	4862.0	2933.0	317.0	3433.0	1204.0	494.0	1110.0	26.0	81.0	156.0	107.0	211.0	331.0	2002.0	207.0	40.0	3580.0	1812.0	3558.0	4275.0	1689.0	1547.0	3244.0	8122.0	8061.0	6220.0	1562.0
gRNA_53	Acvr1	12304.0	2398.0	1216.0	908.0	2364.0	1660.0	2709.0	2902.0	547.0	1279.0	1829.0	33.0	1454.0	4073.0	5343.0	945.0	1195.0	843.0	6173.0	95.0	159.0	111.0	153.0	41.0	682.0	16833.0	1978.0	104.0	2171.0	3413.0	3132.0	3633.0	3800.0	3831.0	2295.0	2916.0	1855.0	1805.0	1248.0
gRNA_54	Ago2	753.0	996.0	1386.0	1778.0	1627.0	1723.0	1416.0	892.0	1023.0	346.0	420.0	1984.0	2766.0	1564.0	1942.0	609.0	2557.0	256.0	488.0	12.0	18.0	89.0	153.0	144.0	2268.0	957.0	44.0	504.0	71.0	1444.0	1836.0	1138.0	1979.0	856.0	2387.0	1261.0	1548.0	1184.0	1191.0
gRNA_55	Ago2	241.0	1029.0	186.0	67.0	10.0	419.0	56.0	406.0	63.0	160.0	260.0	84.0	4.0	1221.0	1443.0	82.0	412.0	271.0	8.0	87.0	323.0	43.0	4307.0	249.0	1138.0	300.0	110.0	13.0	11.0	885.0	663.0	1094.0	1262.0	4853.0	1014.0	484.0	140.0	503.0	671.0
gRNA_56	Ago2	459.0	1901.0	190.0	211.0	704.0	1842.0	538.0	222.0	1091.0	195.0	1484.0	62.0	22.0	48.0	628.0	240.0	95.0	1821.0	922.0	81.0	324.0	23509.0	1928.0	389.0	787.0	1151.0	131.0	260.0	55.0	652.0	981.0	1204.0	1051.0	2260.0	915.0	1228.0	307.0	1409.0	855.0
gRNA_57	Ago2	1888.0	2539.0	742.0	1936.0	1852.0	3235.0	4112.0	1898.0	1871.0	1384.0	11763.0	773.0	877.0	2924.0	360.0	495.0	6126.0	3486.0	2294.0	126.0	66.0	19.0	1552.0	93.0	1365.0	1160.0	78.0	5.0	307.0	715.0	1969.0	1643.0	566.0	272.0	1644.0	887.0	866.0	537.0	1191.0
gRNA_58	Ago2	5571.0	4167.0	6430.0	2576.0	6435.0	4108.0	31957.0	4696.0	91919.0	9176.0	956.0	880.0	5568.0	7471.0	1957.0	1500.0	1897.0	5379.0	12096.0	5154.0	94.0	61.0	367.0	581.0	861.0	2668.0	827.0	4808.0	187.0	1333.0	1982.0	2599.0	3632.0	7554.0	3175.0	2982.0	4618.0	3267.0	1787.0
gRNA_59	Ago2	1578.0	764.0	2281.0	1500.0	1532.0	551.0	848.0	424.0	729.0	5514.0	652.0	105.0	1553.0	1411.0	270.0	46.0	143.0	659.0	750.0	80.0	8.0	490.0	76.0	20.0	3523.0	1072.0	85.0	2394.0	90.0	201.0	1406.0	794.0	1031.0	971.0	376.0	769.0	497.0	741.0	1038.0
gRNA_60	Ago2	1782.0	1861.0	2182.0	3956.0	4481.0	2272.0	1992.0	1017.0	1077.0	1173.0	1456.0	474.0	1894.0	2977.0	125.0	578.0	2748.0	2941.0	535.0	953.0	1299.0	112.0	713.0	131.0	4110.0	2822.0	166.0	423.0	1213.0	1165.0	1915.0	2482.0	4701.0	4848.0	2001.0	5652.0	3891.0	3332.0	1596.0
gRNA_61	Ago2	1183.0	359.0	4606.0	1117.0	658.0	398.0	849.0	781.0	485.0	437.0	571.0	1577.0	493.0	2672.0	513.0	1342.0	79.0	342.0	515.0	139.0	203.0	48.0	75.0	243.0	224.0	6266.0	307.0	14.0	592.0	653.0	738.0	1071.0	705.0	3218.0	1393.0	4887.0	2292.0	1994.0	1310.0
gRNA_62	Ago2	909.0	2006.0	1095.0	1187.0	938.0	735.0	1001.0	897.0	672.0	94.0	154.0	259.0	1239.0	337.0	256.0	1907.0	330.0	21.0	12300.0	105.0	236.0	1820.0	179.0	105.0	118.0	438.0	49.0	444.0	16.0	236.0	547.0	790.0	620.0	184.0	875.0	1728.0	592.0	2126.0	890.0
gRNA_63	Ago2	438.0	1048.0	1696.0	2554.0	971.0	1022.0	1164.0	602.0	943.0	195.0	907.0	2061.0	121.0	613.0	588.0	886.0	1006.0	171.0	558.0	2325.0	113.0	274.0	125.0	34.0	452.0	230.0	49.0	369.0	324.0	605.0	1109.0	664.0	356.0	771.0	2034.0	499.0	3175.0	894.0	955.0
gRNA_64	Ago2	2096.0	2316.0	863.0	1726.0	1535.0	3597.0	1341.0	703.0	2065.0	960.0	664.0	1273.0	2866.0	991.0	2420.0	13428.0	357.0	3042.0	3178.0	989.0	257.0	2402.0	175.0	8851.0	817.0	270.0	1200.0	664.0	174.0	3295.0	4103.0	4355.0	5155.0	1741.0	1870.0	5231.0	1216.0	3416.0	1849.0
gRNA_65	Ago2	7671.0	10204.0	8842.0	4244.0	9253.0	4351.0	7202.0	4660.0	1826.0	20708.0	2514.0	801.0	3585.0	15490.0	4090.0	2194.0	3036.0	654.0	3607.0	242.0	12657.0	2849.0	21720.0	1824.0	954.0	727.0	6571.0	22538.0	8673.0	2551.0	3133.0	4169.0	6492.0	4157.0	3948.0	4539.0	3791.0	3618.0	2312.0
gRNA_66	Ago2	1607.0	535.0	1007.0	535.0	719.0	539.0	1479.0	407.0	968.0	470.0	465.0	684.0	388.0	35.0	417.0	321.0	27.0	606.0	3936.0	13.0	47.0	58.0	10.0	10.0	2604.0	489.0	15.0	1209.0	42.0	911.0	1107.0	1570.0	1210.0	787.0	1268.0	1481.0	192.0	279.0	836.0
gRNA_68	Ago2	1472.0	17808.0	3046.0	5142.0	2676.0	1897.0	6695.0	4249.0	2433.0	2085.0	4433.0	1889.0	786.0	3457.0	789.0	2385.0	2586.0	832.0	3366.0	789.0	195.0	249.0	321.0	334.0	1367.0	1183.0	93.0	1174.0	1594.0	2004.0	1802.0	3178.0	3808.0	2010.0	2243.0	4554.0	840.0	1905.0	1686.0
gRNA_69	Ago2	3745.0	2841.0	3801.0	1851.0	197.0	595.0	436.0	1832.0	2425.0	344.0	577.0	2128.0	1355.0	425.0	1082.0	731.0	310.0	330.0	6825.0	600.0	433.0	276.0	330.0	457.0	3467.0	748.0	2004.0	1836.0	74.0	1306.0	1835.0	2734.0	2388.0	1082.0	3163.0	4045.0	1274.0	3130.0	2023.0
gRNA_70	Ago2	263.0	1988.0	2077.0	3030.0	1245.0	1337.0	639.0	1872.0	920.0	1322.0	543.0	2768.0	6327.0	1480.0	1399.0	620.0	3593.0	496.0	723.0	86.0	79.0	783.0	9663.0	798.0	1079.0	267.0	41.0	537.0	109.0	1033.0	1820.0	2025.0	2024.0	968.0	1286.0	5240.0	1488.0	1784.0	862.0
gRNA_71	Ago2	2279.0	2424.0	2404.0	2245.0	1945.0	2434.0	339.0	2101.0	1617.0	7134.0	559.0	8191.0	3060.0	3405.0	878.0	550.0	4212.0	3518.0	882.0	54.0	280.0	257.0	416.0	1730.0	753.0	346.0	94.0	19.0	245.0	806.0	1481.0	2665.0	2725.0	1050.0	1447.0	1854.0	878.0	634.0	1272.0
gRNA_72	Ago2	758.0	1490.0	1627.0	1479.0	942.0	2007.0	1964.0	661.0	208.0	208.0	3894.0	576.0	99.0	10.0	164.0	587.0	422.0	805.0	295.0	476.0	241.0	72.0	94.0	279.0	813.0	638.0	30.0	11.0	213.0	411.0	1732.0	1479.0	633.0	3356.0	1413.0	4114.0	946.0	2234.0	991.0
gRNA_73	Ago2	866.0	1638.0	1963.0	739.0	894.0	529.0	2406.0	466.0	1000.0	583.0	1605.0	3272.0	453.0	321.0	2176.0	504.0	1005.0	402.0	4341.0	772.0	26.0	24.0	615.0	143.0	336.0	163.0	16.0	370.0	158.0	2018.0	2627.0	2524.0	2969.0	1508.0	823.0	1542.0	1145.0	1250.0	801.0
gRNA_74	Ago2	843.0	2654.0	2176.0	1107.0	1090.0	1520.0	1706.0	1353.0	1414.0	438.0	621.0	1378.0	3573.0	643.0	1994.0	8873.0	698.0	1539.0	469.0	278.0	13.0	116.0	11.0	11.0	377.0	157.0	17.0	11.0	350.0	1950.0	1047.0	1111.0	882.0	481.0	1955.0	974.0	2453.0	1358.0	1429.0
gRNA_75	Ago2	550.0	1303.0	287.0	528.0	535.0	330.0	191.0	815.0	474.0	1153.0	2868.0	1105.0	1836.0	1093.0	234.0	167.0	48.0	326.0	2685.0	10.0	247.0	21.0	654.0	81.0	68.0	41.0	5.0	233.0	154.0	801.0	480.0	459.0	600.0	1412.0	1251.0	867.0	789.0	1439.0	813.0
gRNA_76	Ago2	956.0	3146.0	1504.0	1304.0	1724.0	2834.0	1517.0	969.0	3533.0	412.0	4401.0	3322.0	881.0	276.0	490.0	3058.0	1351.0	2302.0	25220.0	1157.0	1396.0	1179.0	123.0	475.0	1153.0	274.0	42.0	6848.0	256.0	1055.0	1016.0	1037.0	676.0	254.0	1089.0	854.0	355.0	723.0	877.0
